time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1778265341.641483,1,0.0197,1,-94.5821,0.0000,0.0000,0.018733,0.0091,25.75,32.08,-12.57,1.000000,1.000000
1778265341.658687,2,0.0197,1,-101.6694,0.0000,0.0000,0.032805,0.0070,24.21,27.84,-10.17,0.500000,0.500000
1778265341.6778674,3,0.0195,1,-106.0611,0.0000,0.0000,0.043707,0.0085,20.38,23.78,-6.81,0.333333,0.333333
1778265341.6989498,4,0.0192,1,-107.8094,0.0000,0.0000,0.045968,0.0111,16.46,22.34,-4.18,0.250000,0.250000
1778265341.7190106,5,0.0190,1,-106.9499,0.0000,0.0000,0.040348,0.0094,14.78,24.40,-4.06,0.200000,0.200000
1778265341.7381241,6,0.0190,1,-102.7117,0.0000,0.0000,0.029771,0.0075,15.26,27.56,-5.40,0.166667,0.166667
1778265341.7565103,7,0.0191,1,-102.9912,0.0000,0.0000,0.035070,0.0078,17.34,27.32,-6.00,0.142857,0.159104
1778265341.7745097,8,0.0192,1,-111.1175,0.0000,0.0000,0.056612,0.0074,16.89,22.65,-4.69,0.125000,0.159104
1778265341.7940345,9,0.0197,1,-115.8147,0.0000,0.0000,0.066361,0.0089,13.32,16.54,-2.12,0.111111,0.159104
1778265341.811869,10,0.0212,1,-116.0845,0.0000,0.0000,0.063715,0.0073,10.36,14.39,-0.25,0.100000,0.159104
1778265341.8366582,11,0.0276,1,-114.3423,0.0000,0.0000,0.046570,0.0131,8.84,15.92,-0.25,0.090909,0.159104
1778265341.8656743,12,0.0471,1,-125.1943,0.0000,0.0000,0.026789,0.0183,11.71,19.12,-2.14,0.083333,0.159104
1778265341.8819704,13,0.0737,1,-26.3726,0.0000,0.0000,0.054867,0.0058,16.64,20.22,-3.56,0.076923,0.159104
1778265341.898425,14,0.1058,0,-19.1526,0.0546,-0.2688,0.035735,0.0058,18.74,16.11,-3.17,0.071429,0.159104
1778265341.9144585,15,0.1376,0,-15.8828,0.0841,-0.5284,0.017442,0.0050,18.81,10.40,-1.75,0.066667,0.159104
1778265341.9305093,16,0.1654,0,-12.8117,0.1149,-0.7396,0.020579,0.0051,15.26,6.91,-0.06,0.062500,0.159104
1778265341.9474158,17,0.1892,0,-9.8744,0.1463,-0.8727,0.033251,0.0059,11.22,7.19,0.66,0.058824,0.159104
1778265341.9644573,18,0.2103,0,-6.9641,0.1786,-0.9038,0.039690,0.0059,9.07,11.20,-0.09,0.055556,0.159104
1778265341.9806595,19,0.2299,0,-4.5407,0.2058,-0.8386,0.019406,0.0051,8.73,16.02,-1.61,0.052632,0.159104
1778265341.9968872,20,0.2475,0,-3.4524,0.2167,-0.7333,0.004073,0.0051,10.94,18.10,-2.73,0.050000,0.159104
1778265342.0123804,21,0.2617,0,-3.7731,0.2100,-0.6586,0.006852,0.0051,13.56,15.42,-2.52,0.047619,0.159104
1778265342.0294452,22,0.2698,0,-5.2548,0.1893,-0.6748,0.024561,0.0059,15.28,7.95,-0.89,0.045455,0.159104
1778265342.0456746,23,0.2716,0,-6.5484,0.1718,-0.7643,0.021487,0.0051,12.10,0.02,0.61,0.043478,0.159104
