time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1778265372.2394264,1,0.0197,1,-0.1052,0.0000,0.0000,0.182348,0.0042,25.75,32.08,-12.57,1.000000,1.000000
1778265372.2543018,2,0.0197,1,-0.1181,0.0000,0.0000,0.245608,0.0042,24.21,27.84,-10.17,0.500000,0.500000
1778265372.2692382,3,0.0195,1,-0.1278,0.0000,0.0000,0.300753,0.0042,20.38,23.78,-6.81,0.333333,0.333333
1778265372.283862,4,0.0192,1,-0.1303,0.0000,0.0000,0.317749,0.0041,16.46,22.34,-4.18,0.250000,0.250000
1778265372.2986138,5,0.0190,1,-0.1218,0.0000,0.0000,0.287387,0.0042,14.78,24.40,-4.06,0.200000,0.200000
1778265372.3134031,6,0.0190,1,-0.1128,0.0000,0.0000,0.238448,0.0041,15.26,27.56,-5.40,0.166667,0.166667
1778265372.328172,7,0.0191,1,-0.1161,0.0000,0.0000,0.251817,0.0042,17.34,27.32,-6.00,0.142857,0.159104
1778265372.3429325,8,0.0192,1,-0.1254,0.0000,0.0000,0.334130,0.0042,16.89,22.65,-4.69,0.125000,0.159104
1778265372.3576677,9,0.0197,1,-0.1392,0.0000,0.0000,0.407555,0.0042,13.32,16.54,-2.12,0.111111,0.159104
1778265372.3724172,10,0.0212,1,-0.1509,0.0000,0.0000,0.420819,0.0042,10.36,14.39,-0.25,0.100000,0.159104
1778265372.3872614,11,0.0276,1,-0.1750,0.0000,0.0000,0.376618,0.0042,8.84,15.92,-0.25,0.090909,0.159104
1778265372.4020107,12,0.0471,1,-0.2564,0.0000,0.0000,0.294226,0.0041,11.71,19.12,-2.14,0.083333,0.159104
1778265372.4168324,13,0.0737,1,-0.4065,0.0000,0.0000,0.250187,0.0042,16.64,20.22,-3.56,0.076923,0.159104
1778265372.432406,14,0.1058,0,-0.6341,-0.0017,-0.0124,0.265835,0.0050,18.71,15.88,-3.06,0.071429,0.159104
1778265372.4471953,15,0.1376,0,-0.8930,-0.0041,-0.0356,0.286187,0.0042,18.78,9.96,-1.53,0.066667,0.159104
1778265372.461923,16,0.1654,0,-1.0372,-0.0055,-0.0674,0.267501,0.0041,15.24,6.30,0.22,0.062500,0.159104
1778265372.476584,17,0.1892,0,-1.0357,-0.0054,-0.1018,0.216333,0.0041,11.21,6.47,0.95,0.058824,0.159104
1778265372.4913378,18,0.2103,0,-0.8983,-0.0038,-0.1321,0.144896,0.0042,9.04,10.48,0.20,0.055556,0.159104
