time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1778265392.2907405,1,0.0197,1,0.0000,0.0000,0.0000,0.182348,0.0042,25.75,32.08,-12.57,1.000000,1.000000
1778265392.305597,2,0.0197,1,0.0000,0.0000,0.0000,0.245608,0.0042,24.21,27.84,-10.17,0.500000,0.500000
1778265392.3204172,3,0.0195,1,0.0000,0.0000,0.0000,0.300753,0.0042,20.38,23.78,-6.81,0.333333,0.333333
1778265392.335294,4,0.0192,1,0.0000,0.0000,0.0000,0.317749,0.0042,16.46,22.34,-4.18,0.250000,0.250000
1778265392.3500445,5,0.0190,1,0.0000,0.0000,0.0000,0.287387,0.0042,14.78,24.40,-4.06,0.200000,0.200000
1778265392.365176,6,0.0190,1,0.0000,0.0000,0.0000,0.238448,0.0043,15.26,27.56,-5.40,0.166667,0.166667
1778265392.380063,7,0.0191,1,0.0000,0.0000,0.0000,0.251817,0.0042,17.34,27.32,-6.00,0.142857,0.159104
1778265392.394862,8,0.0192,1,0.0000,0.0000,0.0000,0.334130,0.0042,16.89,22.65,-4.69,0.125000,0.159104
1778265392.40974,9,0.0197,1,0.0000,0.0000,0.0000,0.407555,0.0042,13.32,16.54,-2.12,0.111111,0.159104
1778265392.4245386,10,0.0212,1,0.0000,0.0000,0.0000,0.420819,0.0042,10.36,14.39,-0.25,0.100000,0.159104
1778265392.439312,11,0.0276,1,0.0000,0.0000,0.0000,0.376618,0.0042,8.84,15.92,-0.25,0.090909,0.159104
1778265392.4540668,12,0.0471,1,0.0000,0.0000,0.0000,0.294226,0.0041,11.71,19.12,-2.14,0.083333,0.159104
1778265392.4688926,13,0.0737,1,0.0000,0.0000,0.0000,0.250187,0.0042,16.64,20.22,-3.56,0.076923,0.159104
1778265392.4844894,14,0.1058,0,-0.6341,-0.0048,-0.0154,0.265835,0.0050,18.71,15.88,-3.07,0.071429,0.159104
1778265392.4993129,15,0.1376,0,-0.8959,-0.0071,-0.0417,0.286083,0.0042,18.78,9.97,-1.53,0.066667,0.159104
1778265392.5142367,16,0.1654,0,-1.0427,-0.0086,-0.0764,0.267268,0.0043,15.24,6.31,0.22,0.062500,0.159104
1778265392.5291047,17,0.1892,0,-1.0438,-0.0085,-0.1137,0.215996,0.0042,11.21,6.49,0.94,0.058824,0.159104
1778265392.543973,18,0.2103,0,-0.9088,-0.0068,-0.1469,0.144528,0.0043,9.04,10.49,0.19,0.055556,0.159104
1778265392.5596042,19,0.2299,0,-0.7378,-0.0047,-0.1731,0.069417,0.0050,8.67,15.41,-1.35,0.052632,0.159104
1778265392.5751555,20,0.2475,0,-0.6749,-0.0038,-0.1965,0.035823,0.0050,10.88,17.62,-2.49,0.050000,0.159104
1778265392.59064,21,0.2617,0,-0.8017,-0.0054,-0.2269,0.048649,0.0050,13.51,15.04,-2.31,0.047619,0.159104
1778265392.6062534,22,0.2698,0,-1.1212,-0.0092,-0.2741,0.111565,0.0050,15.26,7.61,-0.68,0.045455,0.159104
1778265392.6220896,23,0.2716,0,-1.4081,-0.0125,-0.3351,0.159697,0.0050,12.11,-0.35,0.81,0.043478,0.159104
1778265392.637765,24,0.2689,0,-1.5486,-0.0139,-0.4003,0.171742,0.0050,4.79,-6.11,1.61,0.041667,0.159104
1778265392.6534092,25,0.2640,0,-1.4981,-0.0133,-0.4591,0.154416,0.0050,-2.82,-7.44,1.69,0.040000,0.159104
1778265392.6690733,26,0.2586,0,-1.2329,-0.0105,-0.5010,0.092982,0.0051,-10.46,-4.16,1.02,0.038462,0.159104
1778265392.6849036,27,0.2537,0,-0.9436,-0.0077,-0.5263,0.037730,0.0050,-16.07,0.15,1.07,0.037037,0.159104
1778265392.699784,28,0.2502,0,-0.7509,-0.0059,-0.5409,0.012147,0.0042,-18.65,3.64,1.76,0.035714,0.159104
1778265392.714543,29,0.2479,0,-0.6297,-0.0048,-0.5490,0.002397,0.0042,-20.77,5.46,2.25,0.034483,0.159104
1778265392.729259,30,0.2449,0,-0.6258,-0.0047,-0.5565,0.002473,0.0042,-21.26,5.65,2.34,0.033333,0.159104
1778265392.7440104,31,0.2409,0,-0.8152,-0.0062,-0.5724,0.026718,0.0042,-16.37,4.81,2.13,0.032258,0.159104
1778265392.7595494,32,0.2364,0,-1.1079,-0.0083,-0.6005,0.076070,0.0050,-7.25,3.45,2.00,0.031250,0.159104
1778265392.7752366,33,0.2314,0,-1.4583,-0.0107,-0.6423,0.135363,0.0050,2.69,1.29,2.12,0.030303,0.159104
1778265392.7908251,34,0.2279,0,-1.8222,-0.0130,-0.6977,0.211729,0.0050,12.65,-1.75,2.96,0.029412,0.159104
1778265392.806349,35,0.2270,0,-2.0715,-0.0146,-0.7614,0.277818,0.0050,20.44,-4.33,4.44,0.028571,0.159104
1778265392.82184,36,0.2277,0,-2.2414,-0.0156,-0.8300,0.321226,0.0050,24.26,-6.77,6.03,0.027778,0.159104
1778265392.8373764,37,0.2289,0,-2.3840,-0.0163,-0.9023,0.353023,0.0050,27.24,-8.76,7.48,0.027027,0.159104
1778265392.8530083,38,0.2301,0,-2.4878,-0.0169,-0.9766,0.367868,0.0050,29.17,-9.83,8.44,0.026316,0.159104
1778265392.868856,39,0.2295,0,-2.5906,-0.0174,-1.0523,0.389212,0.0051,29.09,-11.01,9.11,0.025641,0.159104
1778265392.8845756,40,0.2261,0,-2.7047,-0.0179,-1.1291,0.433502,0.0050,26.87,-13.15,9.49,0.025000,0.159104
1778265392.9001958,41,0.2212,0,-2.8027,-0.0184,-1.2057,0.483326,0.0050,21.14,-16.68,8.74,0.024390,0.159104
1778265392.9157462,42,0.2188,0,-2.8740,-0.0186,-1.2817,0.505419,0.0050,13.85,-20.07,7.19,0.023810,0.159104
1778265392.9312804,43,0.2219,0,-2.8053,-0.0182,-1.3531,0.442130,0.0050,6.34,-19.63,5.03,0.023256,0.159104
1778265392.9468987,44,0.2300,0,-2.5369,-0.0167,-1.4125,0.317449,0.0050,1.31,-13.17,2.71,0.022727,0.159104
1778265392.9624488,45,0.2390,0,-2.1690,-0.0146,-1.4553,0.178851,0.0050,1.86,-0.51,0.21,0.022222,0.159104
1778265392.9780102,46,0.2437,0,-1.7851,-0.0125,-1.4802,0.060201,0.0050,8.32,15.74,-5.13,0.021739,0.159104
1778265392.99281,47,0.2436,0,-1.4375,-0.0107,-1.4888,0.014692,0.0042,18.53,30.99,-13.58,0.021277,0.159104
1778265393.0083292,48,0.2403,0,-0.3644,-0.0052,-1.4508,0.064734,0.0050,29.31,42.52,-23.19,0.020833,0.159104
1778265393.0250611,49,0.2363,0,-0.0380,-0.0036,-1.4012,0.076471,0.0060,37.74,49.34,-31.34,0.020408,0.159104
1778265393.0409796,50,0.2338,0,-0.0139,-0.0035,-1.3530,0.074025,0.0051,40.01,51.00,-33.68,0.020000,0.159104
1778265393.0567224,51,0.2310,0,-0.0295,-0.0036,-1.3078,0.071646,0.0050,37.59,47.83,-30.25,0.019608,0.159104
1778265393.0726187,52,0.2275,0,-0.5671,-0.0059,-1.2867,0.038704,0.0051,35.58,42.70,-26.07,0.019231,0.159104
1778265393.087899,53,0.2245,0,-1.3024,-0.0090,-1.2959,0.003157,0.0044,33.92,38.09,-22.45,0.018868,0.159104
1778265393.1037488,54,0.2216,0,-1.3640,-0.0092,-1.3072,0.001443,0.0048,31.72,35.62,-19.65,0.018519,0.159104
1778265393.1204467,55,0.2188,0,-1.3705,-0.0092,-1.3183,0.001188,0.0053,26.94,35.61,-16.55,0.018182,0.159104
1778265393.1373708,56,0.2158,0,-1.3956,-0.0093,-1.3299,0.001718,0.0057,18.10,34.21,-11.22,0.017857,0.159104
1778265393.1535966,57,0.2131,0,-1.4859,-0.0096,-1.3444,0.008520,0.0051,7.52,29.14,-5.09,0.017544,0.159104
1778265393.1702943,58,0.2111,0,-1.7278,-0.0104,-1.3673,0.049945,0.0053,-1.05,18.81,-0.70,0.017241,0.159104
1778265393.186119,59,0.2113,0,-2.0679,-0.0116,-1.4021,0.127613,0.0051,-5.96,5.29,0.75,0.016949,0.159104
1778265393.2019608,60,0.2138,0,-2.4441,-0.0129,-1.4500,0.242400,0.0050,-8.60,-8.45,0.24,0.016667,0.159104
1778265393.217617,61,0.2169,0,-2.8097,-0.0141,-1.5106,0.393415,0.0050,-9.82,-20.99,-1.15,0.016393,0.159104
1778265393.2340617,62,0.2196,0,-3.0502,-0.0149,-1.5788,0.536013,0.0058,-10.85,-29.76,-2.42,0.016129,0.159104
1778265393.2505562,63,0.2213,0,-3.2064,-0.0154,-1.6510,0.639711,0.0058,-11.52,-35.39,-3.36,0.015873,0.159104
1778265393.2669826,64,0.2220,0,-3.2753,-0.0156,-1.7234,0.656458,0.0058,-12.68,-37.25,-4.26,0.015625,0.159104
1778265393.2836928,65,0.2218,0,-3.2317,-0.0154,-1.7915,0.565454,0.0059,-14.08,-34.42,-4.66,0.015385,0.159104
