time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1778155188.0632873,1,0.0197,1,0.0000,0.0000,0.0000,0.018733,0.0093,25.75,32.08,-12.57,1.000000,1.000000
1778155188.0809765,2,0.0197,1,0.0000,0.0000,0.0000,0.032805,0.0073,24.21,27.84,-10.17,0.500000,0.500000
1778155188.101361,3,0.0195,1,0.0000,0.0000,0.0000,0.043707,0.0089,20.38,23.78,-6.81,0.333333,0.333333
1778155188.1234407,4,0.0192,1,0.0000,0.0000,0.0000,0.045968,0.0114,16.46,22.34,-4.18,0.250000,0.250000
1778155188.1444263,5,0.0190,1,0.0000,0.0000,0.0000,0.040348,0.0097,14.78,24.40,-4.06,0.200000,0.200000
1778155188.163376,6,0.0190,1,0.0000,0.0000,0.0000,0.029771,0.0076,15.26,27.56,-5.40,0.166667,0.166667
1778155188.1835315,7,0.0191,1,0.0000,0.0000,0.0000,0.035070,0.0082,17.34,27.32,-6.00,0.142857,0.142857
1778155188.2027395,8,0.0192,1,0.0000,0.0000,0.0000,0.056612,0.0078,16.89,22.65,-4.69,0.125000,0.125000
1778155188.223421,9,0.0197,1,0.0000,0.0000,0.0000,0.066361,0.0093,13.32,16.54,-2.12,0.111111,0.111111
1778155188.2426045,10,0.0212,1,0.0000,0.0000,0.0000,0.063715,0.0078,10.36,14.39,-0.25,0.100000,0.100000
1778155188.2675912,11,0.0276,1,0.0000,0.0000,0.0000,0.046570,0.0136,8.84,15.92,-0.25,0.090909,0.090909
1778155188.2982152,12,0.0471,1,0.0000,0.0000,0.0000,0.026789,0.0192,11.71,19.12,-2.14,0.083333,0.083333
1778155188.3169816,13,0.0737,1,0.0000,0.0000,0.0000,0.054867,0.0063,16.64,20.22,-3.56,0.076923,0.076923
1778155188.3344336,14,0.1058,0,-19.1526,-0.1447,-0.2884,0.035735,0.0061,22.21,33.06,-12.24,0.071429,0.071429
1778155188.3510208,15,0.1376,0,-15.8828,-0.1134,-0.5438,0.017442,0.0052,20.86,24.05,-9.21,0.066667,0.066667
1778155188.3678102,16,0.1654,0,-12.8117,-0.0805,-0.7503,0.020579,0.0052,16.20,17.83,-5.30,0.062500,0.062500
1778155188.3851905,17,0.1892,0,-9.8744,-0.0469,-0.8983,0.033251,0.0060,11.71,15.51,-2.82,0.058824,0.058824
1778155188.402594,18,0.2103,0,-6.9641,-0.0124,-0.9813,0.039690,0.0060,9.50,16.84,-2.38,0.055556,0.055556
1778155188.420399,19,0.2299,0,-4.5407,0.0171,-1.0075,0.019406,0.0053,9.12,19.44,-3.09,0.052632,0.052632
1778155188.4380474,20,0.2475,0,-3.4524,0.0304,-1.0078,0.004073,0.0052,11.29,20.54,-3.96,0.050000,0.050000
1778155188.455476,21,0.2617,0,-3.7731,0.0260,-1.0166,0.006852,0.0052,13.93,18.14,-4.10,0.047619,0.047619
1778155188.4728384,22,0.2698,0,-5.2548,0.0075,-1.0612,0.024561,0.0060,15.60,11.87,-3.33,0.045455,0.045455
1778155188.4894114,23,0.2716,0,-6.5484,-0.0079,-1.1338,0.021487,0.0053,12.19,5.09,-2.13,0.043478,0.043478
1778155188.5067556,24,0.2689,0,-7.1112,-0.0141,-1.2147,0.011381,0.0052,4.59,0.04,-0.68,0.041667,0.041667
1778155188.5243788,25,0.2640,0,-6.7324,-0.0099,-1.2828,0.018724,0.0058,-3.12,-1.45,0.38,0.040000,0.040000
1778155188.5416672,26,0.2586,0,-5.0534,0.0069,-1.3135,0.023795,0.0053,-10.63,0.34,0.67,0.038462,0.038462
1778155188.5586536,27,0.2537,0,-3.1735,0.0245,-1.3067,0.014768,0.0054,-16.15,2.79,1.14,0.037037,0.037037
1778155188.5757234,28,0.2502,0,-1.8986,0.0356,-1.2767,0.006168,0.0055,-18.69,4.99,1.86,0.035714,0.035714
1778155188.592103,29,0.2479,0,-1.0902,0.0422,-1.2333,0.001451,0.0045,-20.78,6.00,2.31,0.034483,0.034483
1778155188.6080747,30,0.2449,0,-1.0338,0.0423,-1.1896,0.001751,0.0045,-21.28,6.13,2.40,0.033333,0.033333
1778155188.6250398,31,0.2409,0,-2.2371,0.0327,-1.1654,0.018289,0.0053,-16.42,6.45,2.20,0.032258,0.032258
1778155188.6423159,32,0.2364,0,-4.1766,0.0181,-1.1697,0.038637,0.0053,-7.34,6.89,1.63,0.031250,0.031250
1778155188.6600928,33,0.2314,0,-6.6071,0.0009,-1.2069,0.035326,0.0053,2.60,6.84,0.53,0.030303,0.030303
