time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1778155181.0283685,1,0.9996,0,24.1304,24.1202,24.1304,0.629163,0.0053,-8.13,1.000000,1.000000
1778155181.0479932,2,0.9995,0,24.1745,12.0883,30.1996,0.563522,0.0045,-11.21,0.500000,0.500000
1778155181.0662444,3,0.9994,0,24.1935,8.0675,33.5785,0.519792,0.0050,-13.84,0.333333,0.333333
1778155181.0851443,4,0.9994,0,24.0767,6.0226,35.7223,0.549272,0.0042,-13.24,0.250000,0.250000
1778155181.1070437,5,0.9995,0,24.0249,4.8084,37.2313,0.640576,0.0050,-10.10,0.200000,0.200000
1778155181.1275291,6,0.9995,0,23.6015,3.9368,38.2417,0.708045,0.0051,-9.44,0.166667,0.166667
1778155181.1459007,7,0.9995,0,23.5160,3.3625,39.0215,0.699978,0.0050,-9.73,0.142857,0.142857
1778155181.1647103,8,0.9994,0,23.5473,2.9463,39.6667,0.635142,0.0050,-12.84,0.125000,0.125000
1778155181.1832135,9,0.9993,0,23.9637,2.6654,40.2926,0.626737,0.0050,-16.03,0.111111,0.111111
1778155181.2032547,10,0.9993,0,24.2246,2.4252,40.8697,0.629249,0.0049,-14.79,0.100000,0.100000
1778155181.2216656,11,0.9993,0,24.2684,2.2088,41.3698,0.664883,0.0051,-13.50,0.090909,0.090909
1778155181.2461073,12,0.9992,0,24.3948,2.0354,41.8222,0.688864,0.0050,-11.26,0.083333,0.083333
1778155181.2758079,13,0.9991,0,24.0797,1.8548,42.1709,0.629888,0.0050,-10.06,0.076923,0.076923
1778155181.2928061,14,0.9991,0,24.3226,1.7398,42.5128,0.562956,0.0051,-10.30,0.071429,0.071429
1778155181.309582,15,0.9992,0,24.6051,1.6427,42.8532,0.548264,0.0051,-7.91,0.066667,0.066667
1778155181.3256319,16,0.9994,0,24.5168,1.5346,43.1466,0.590899,0.0051,-5.93,0.062500,0.062500
1778155181.3416438,17,0.9993,0,24.4551,1.4407,43.4039,0.680515,0.0051,-2.61,0.058824,0.058824
1778155181.3585162,18,0.9987,0,24.2363,1.3486,43.6142,0.789393,0.0051,0.96,0.055556,0.055556
1778155181.3753717,19,0.9979,0,24.0824,1.2697,43.7914,0.836849,0.0051,2.50,0.052632,0.052632
1778155181.3922572,20,0.9975,0,24.3566,1.2201,43.9813,0.841088,0.0059,3.35,0.050000,0.050000
1778155181.4090254,21,0.9978,0,24.5534,1.1715,44.1740,0.770910,0.0058,1.59,0.047619,0.047619
1778155181.4251225,22,0.9984,0,24.9632,1.1369,44.3875,0.645940,0.0052,0.26,0.045455,0.045455
1778155181.4419422,23,0.9990,0,24.9402,1.0865,44.5821,0.586611,0.0051,-2.23,0.043478,0.043478
1778155181.4587286,24,0.9994,0,24.4149,1.0194,44.7193,0.622510,0.0058,-4.53,0.041667,0.041667
1778155181.4746332,25,0.9994,0,23.5709,0.9449,44.7810,0.865773,0.0051,-0.69,0.040000,0.040000
1778155181.490634,26,0.9995,0,22.5836,0.8706,44.7648,1.020973,0.0051,5.95,0.038462,0.038462
1778155181.5066109,27,0.9998,0,21.7887,0.8089,44.6930,1.111454,0.0051,14.14,0.037037,0.037037
1778155181.52264,28,1.0000,0,21.1742,0.7581,44.5841,1.186237,0.0051,24.79,0.035714,0.035714
1778155181.5389936,29,1.0000,0,20.9707,0.7250,44.4698,1.192009,0.0051,31.06,0.034483,0.034483
1778155181.5541203,30,1.0000,0,20.8958,0.6977,44.3408,1.198703,0.0050,32.02,0.034064,0.034064
1778155181.5692863,31,1.0000,0,21.2784,0.6870,44.2188,1.308641,0.0049,34.47,0.034064,0.034064
1778155181.5852406,32,1.0000,0,22.0657,0.6904,44.1310,1.449405,0.0049,36.95,0.034064,0.034064
1778155181.6013064,33,1.0000,0,23.0416,0.7001,44.0890,1.415010,0.0050,33.93,0.034064,0.034064
1778155181.6172562,34,1.0000,0,24.0453,0.7105,44.0925,1.190909,0.0050,27.30,0.034064,0.034064
1778155181.6341708,35,0.9999,0,24.6558,0.7071,44.1134,0.889715,0.0058,16.49,0.034064,0.034064
1778155181.651958,36,0.9998,0,24.9222,0.6920,44.1283,0.567991,0.0058,0.48,0.034064,0.034064
1778155181.6697712,37,0.9997,0,25.0186,0.6718,44.1264,0.351873,0.0059,-11.22,0.034064,0.034064
1778155181.6875558,38,0.9996,0,25.0317,0.6493,44.1034,0.260822,0.0059,-17.52,0.034064,0.034064
1778155181.7053316,39,0.9995,0,25.0159,0.6267,44.0589,0.234452,0.0059,-19.77,0.034064,0.034064
1778155181.7228124,40,0.9994,0,25.0549,0.6067,43.9980,0.268231,0.0057,-17.14,0.034064,0.034064
1778155181.7406235,41,0.9991,0,24.9810,0.5835,43.9144,0.342053,0.0058,-13.40,0.034064,0.034064
1778155181.7588265,42,0.9987,0,24.7672,0.5564,43.8005,0.476784,0.0059,-6.78,0.034064,0.034064
1778155181.7769425,43,0.9987,0,24.4278,0.5259,43.6495,0.743248,0.0060,2.26,0.034064,0.034064
1778155181.7944129,44,0.9988,0,23.7005,0.4833,43.4376,1.112322,0.0052,12.30,0.034064,0.034064
1778155181.8120203,45,0.9981,0,22.7838,0.4357,43.1563,1.543863,0.0053,25.12,0.034064,0.034064
1778155181.8295426,46,0.9959,0,22.4567,0.4098,42.8500,1.797171,0.0052,38.53,0.034064,0.034064
1778155181.8480399,47,0.9919,0,22.0479,0.3821,42.5164,1.950831,0.0059,47.22,0.034064,0.034064
1778155181.8662899,48,0.9873,0,22.2310,0.3755,42.1970,1.995565,0.0060,50.66,0.034064,0.034064
1778155181.884968,49,0.9837,0,22.5964,0.3751,41.9028,1.933775,0.0061,51.83,0.034064,0.034064
1778155181.9023411,50,0.9828,0,22.4998,0.3593,41.6005,1.941007,0.0052,51.38,0.034064,0.034064
1778155181.9195867,51,0.9846,0,22.7228,0.3548,41.3102,1.907049,0.0051,52.87,0.034064,0.034064
1778155181.9374456,52,0.9873,0,22.9285,0.3497,41.0300,1.904321,0.0058,57.72,0.034064,0.034064
1778155181.9546678,53,0.9897,0,23.2972,0.3504,40.7707,1.857631,0.0059,60.91,0.034064,0.034064
1778155181.9716635,54,0.9912,0,23.4755,0.3446,40.5197,1.746571,0.0059,59.57,0.034064,0.034064
1778155181.9877777,55,0.9918,0,23.5090,0.3341,40.2678,1.608462,0.0050,52.11,0.034064,0.034064
1778155182.0039897,56,0.9929,0,23.3642,0.3179,40.0032,1.446266,0.0050,41.91,0.034064,0.034064
1778155182.0208197,57,0.9949,0,23.1455,0.2997,39.7214,1.283273,0.0050,31.60,0.034064,0.034064
1778155182.0369833,58,0.9970,0,23.7197,0.3090,39.4765,1.190306,0.0050,22.83,0.034064,0.034064
1778155182.053994,59,0.9985,0,23.7862,0.3008,39.2334,1.043782,0.0051,16.47,0.034064,0.034064
1778155182.0708475,60,0.9988,0,24.0122,0.2982,39.0036,0.933575,0.0051,10.64,0.034064,0.034064
1778155182.087745,61,0.9980,0,24.3743,0.3004,38.7964,0.791771,0.0050,4.58,0.034064,0.034064
1778155182.1045685,62,0.9968,0,24.0454,0.2790,38.5650,0.673015,0.0050,-1.44,0.034064,0.034064
1778155182.1221259,63,0.9959,0,24.2890,0.2778,38.3492,0.603732,0.0058,-5.28,0.034064,0.034064
1778155182.1398242,64,0.9954,0,24.2488,0.2670,38.1290,0.589117,0.0058,-7.28,0.034064,0.034064
1778155182.1577015,65,0.9957,0,23.9542,0.2480,37.8879,0.676246,0.0060,-5.36,0.034064,0.034064
1778155182.175,66,0.9967,0,23.3113,0.2177,37.6033,0.889765,0.0051,0.20,0.034064,0.034064
1778155182.1919909,67,0.9979,0,22.7313,0.1906,37.2819,1.077980,0.0052,6.92,0.034064,0.034064
1778155182.2090921,68,0.9988,0,22.1449,0.1642,36.9255,1.289742,0.0052,16.27,0.034064,0.034064
1778155182.225938,69,0.9986,0,21.7813,0.1462,36.5517,1.512207,0.0051,28.63,0.034064,0.034064
1778155182.242173,70,0.9973,0,21.9702,0.1477,36.1990,1.712559,0.0052,42.18,0.034064,0.034064
1778155182.2582817,71,0.9955,0,22.2539,0.1523,35.8732,1.892251,0.0052,55.31,0.034064,0.034064
1778155182.2745917,72,0.9937,0,22.4135,0.1525,35.5650,1.998530,0.0051,63.31,0.034064,0.034064
1778155182.2909222,73,0.9924,0,22.9274,0.1648,35.2970,1.962750,0.0050,62.16,0.034064,0.034064
1778155182.3070805,74,0.9918,0,23.3840,0.1746,35.0632,1.771968,0.0050,50.54,0.034064,0.034064
1778155182.3240585,75,0.9917,0,23.7326,0.1805,34.8549,1.473554,0.0051,32.41,0.034064,0.034064
1778155182.3408978,76,0.9918,0,24.3203,0.1942,34.6867,1.031787,0.0050,12.63,0.034064,0.034064
1778155182.3576794,77,0.9917,0,24.5715,0.1962,34.5345,0.674627,0.0050,-4.54,0.034064,0.034064
1778155182.3737464,78,0.9907,0,24.7795,0.1966,34.3953,0.466174,0.0050,-15.56,0.034064,0.034064
1778155182.3902593,79,0.9884,0,24.9897,0.1970,34.2690,0.374261,0.0050,-20.96,0.034064,0.034064
1778155182.407427,80,0.9853,0,25.0432,0.1922,34.1451,0.371965,0.0051,-22.86,0.034064,0.034064
1778155182.4255173,81,0.9825,0,25.0581,0.1863,34.0211,0.414873,0.0052,-23.46,0.034064,0.034064
1778155182.448193,82,0.9803,0,24.9046,0.1749,33.8857,0.457475,0.0058,-23.49,0.034064,0.034064
1778155182.469846,83,0.9792,0,24.7527,0.1640,33.7396,0.477155,0.0058,-23.60,0.034064,0.034064
1778155182.4907103,84,0.9786,0,24.7527,0.1586,33.5933,0.475901,0.0058,-23.68,0.034064,0.034064
1778155182.5138037,85,0.9781,0,24.8077,0.1551,33.4505,0.490410,0.0058,-23.71,0.034064,0.034064
1778155182.5325663,86,0.9781,0,24.5613,0.1417,33.2914,0.531927,0.0057,-23.68,0.034064,0.034064
1778155182.5639563,87,0.9797,0,23.8803,0.1143,33.0878,0.631099,0.0058,-23.72,0.034064,0.034064
1778155182.5831168,88,0.9836,0,23.6221,0.1018,32.8690,0.593473,0.0050,-23.70,0.034064,0.034064
1778155182.6001036,89,0.9887,0,23.5754,0.0968,32.6496,0.507374,0.0050,-24.20,0.034064,0.034064
1778155182.6169865,90,0.9938,0,23.9865,0.1074,32.4601,0.435048,0.0050,-25.77,0.034064,0.034064
1778155182.6347077,91,0.9977,0,24.6913,0.1277,32.3195,0.287772,0.0050,-24.63,0.034064,0.034064
1778155182.6519272,92,0.9994,0,25.0694,0.1363,32.2043,0.282935,0.0050,-21.31,0.034064,0.034064
1778155182.6691363,93,0.9996,0,25.0739,0.1318,32.0888,0.341073,0.0049,-19.03,0.034064,0.034064
1778155182.6860967,94,0.9992,0,24.8775,0.1206,31.9598,0.423043,0.0050,-15.47,0.034064,0.034064
1778155182.7031696,95,0.9986,0,24.8689,0.1162,31.8309,0.458651,0.0050,-14.16,0.034064,0.034064
1778155182.7203429,96,0.9981,0,24.7028,0.1066,31.6915,0.476690,0.0050,-14.62,0.034064,0.034064
1778155182.737626,97,0.9977,0,24.6234,0.1003,31.5482,0.502901,0.0051,-13.08,0.034064,0.034064
1778155182.7545493,98,0.9976,0,24.6686,0.0984,31.4095,0.532017,0.0051,-11.13,0.034064,0.034064
1778155182.7713296,99,0.9976,0,24.6730,0.0952,31.2725,0.590848,0.0050,-8.55,0.034064,0.034064
1778155182.7882965,100,0.9980,0,24.6129,0.0899,31.1330,0.695501,0.0051,-4.23,0.034064,0.034064
1778155182.8053675,101,0.9985,0,24.7403,0.0912,31.0037,0.809025,0.0051,1.28,0.034064,0.034064
1778155182.8224838,102,0.9990,0,24.5657,0.0822,30.8640,0.956365,0.0051,6.36,0.034064,0.034064
1778155182.8397014,103,0.9994,0,24.3884,0.0733,30.7144,1.071261,0.0050,9.51,0.034064,0.034064
1778155182.8569436,104,0.9992,0,24.2801,0.0672,30.5603,1.078661,0.0050,8.27,0.034064,0.034064
1778155182.874165,105,0.9985,0,24.1609,0.0608,30.4013,1.015603,0.0050,4.48,0.034064,0.034064
1778155182.8913004,106,0.9974,0,24.4059,0.0671,30.2625,0.869588,0.0051,-1.41,0.034064,0.034064
1778155182.9077952,107,0.9963,0,24.5904,0.0711,30.1386,0.669604,0.0051,-8.71,0.034064,0.034064
1778155182.9232326,108,0.9955,0,25.0054,0.0827,30.0445,0.501256,0.0050,-14.68,0.034064,0.034064
1778155182.9394383,109,0.9950,0,25.2005,0.0865,29.9639,0.381747,0.0050,-19.74,0.034064,0.034064
1778155182.955674,110,0.9947,0,25.2836,0.0864,29.8888,0.314065,0.0052,-22.87,0.034064,0.034064
1778155182.971693,111,0.9945,0,25.1140,0.0777,29.8021,0.315547,0.0050,-25.24,0.034064,0.034064
1778155182.987627,112,0.9946,0,24.6333,0.0588,29.6838,0.332606,0.0050,-29.28,0.034064,0.034064
1778155183.0037603,113,0.9951,0,24.0631,0.0375,29.5296,0.348928,0.0050,-32.86,0.034064,0.034064
1778155183.019922,114,0.9957,0,23.3480,0.0120,29.3315,0.417380,0.0049,-31.49,0.034064,0.034064
1778155183.036223,115,0.9964,0,22.7578,-0.0085,29.1002,0.555326,0.0050,-24.05,0.034064,0.034064
1778155183.0531466,116,0.9969,0,22.1984,-0.0272,28.8395,0.728997,0.0049,-11.28,0.034064,0.034064
1778155183.0699973,117,0.9971,0,21.7302,-0.0422,28.5573,0.888173,0.0049,1.84,0.034064,0.034064
1778155183.0875793,118,0.9970,0,21.4747,-0.0494,28.2691,1.020617,0.0049,9.75,0.034064,0.034064
1778155183.1044865,119,0.9965,0,21.7595,-0.0381,28.0114,1.185129,0.0050,15.58,0.034064,0.034064
1778155183.1205213,120,0.9958,0,22.5728,-0.0092,27.8180,1.307468,0.0050,19.65,0.034064,0.034064
