time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1778156516.8322196,1,0.0197,1,0.0000,0.0000,0.0000,0.018733,0.0094,25.75,32.08,-12.57,1.000000,1.000000
1778156516.8495421,2,0.0197,1,0.0000,0.0000,0.0000,0.032805,0.0071,24.21,27.84,-10.17,0.500000,0.500000
1778156516.8691971,3,0.0195,1,0.0000,0.0000,0.0000,0.043707,0.0088,20.38,23.78,-6.81,0.333333,0.333333
1778156516.8903012,4,0.0192,1,0.0000,0.0000,0.0000,0.045968,0.0110,16.46,22.34,-4.18,0.250000,0.250000
1778156516.9110446,5,0.0190,1,0.0000,0.0000,0.0000,0.040348,0.0094,14.78,24.40,-4.06,0.200000,0.200000
1778156516.9297192,6,0.0190,1,0.0000,0.0000,0.0000,0.029771,0.0074,15.26,27.56,-5.40,0.166667,0.166667
1778156516.9487422,7,0.0191,1,0.0000,0.0000,0.0000,0.035070,0.0079,17.34,27.32,-6.00,0.159104,0.142857
1778156516.9673579,8,0.0192,1,0.0000,0.0000,0.0000,0.056612,0.0076,16.89,22.65,-4.69,0.159104,0.125000
1778156516.9873598,9,0.0197,1,0.0000,0.0000,0.0000,0.066361,0.0091,13.32,16.54,-2.12,0.159104,0.111111
1778156517.005909,10,0.0212,1,0.0000,0.0000,0.0000,0.063715,0.0076,10.36,14.39,-0.25,0.159104,0.100000
1778156517.0290492,11,0.0276,1,0.0000,0.0000,0.0000,0.046570,0.0130,8.84,15.92,-0.25,0.159104,0.090909
1778156517.058649,12,0.0471,1,0.0000,0.0000,0.0000,0.026789,0.0187,11.71,19.12,-2.14,0.159104,0.083333
1778156517.0756085,13,0.0737,1,0.0000,0.0000,0.0000,0.054867,0.0060,16.64,20.22,-3.56,0.159104,0.076923
1778156517.0926287,14,0.1058,0,-19.1526,-0.3224,-0.4647,0.035735,0.0060,22.21,33.06,-12.24,0.159104,0.071429
1778156517.1088645,15,0.1376,0,-15.8828,-0.2438,-0.8477,0.017442,0.0052,20.86,24.05,-9.21,0.159104,0.066667
1778156517.1251264,16,0.1654,0,-12.8117,-0.1566,-1.1263,0.020579,0.0053,16.20,17.83,-5.30,0.159104,0.062500
1778156517.1418822,17,0.1892,0,-9.8744,-0.0634,-1.2863,0.033251,0.0059,11.71,15.51,-2.82,0.159104,0.058824
1778156517.1588664,18,0.2103,0,-6.9641,0.0361,-1.3170,0.039690,0.0060,9.50,16.84,-2.38,0.159104,0.055556
1778156517.1749566,19,0.2299,0,-4.5407,0.1234,-1.2341,0.019406,0.0051,9.12,19.44,-3.09,0.159104,0.052632
1778156517.1909888,20,0.2475,0,-3.4524,0.1614,-1.1022,0.004073,0.0051,11.29,20.54,-3.96,0.159104,0.050000
1778156517.207359,21,0.2617,0,-3.7731,0.1413,-0.9959,0.006852,0.0053,13.93,18.14,-4.10,0.159104,0.047619
1778156517.2242231,22,0.2698,0,-5.2548,0.0716,-0.9774,0.024561,0.0060,15.60,11.87,-3.33,0.159104,0.045455
1778156517.2403066,23,0.2716,0,-6.5484,0.0126,-1.0307,0.021487,0.0052,12.19,5.09,-2.13,0.159104,0.043478
1778156517.2564137,24,0.2689,0,-7.1112,-0.0120,-1.1107,0.011381,0.0053,4.59,0.04,-0.68,0.159104,0.041667
1778156517.272556,25,0.2640,0,-6.7324,0.0044,-1.1656,0.018724,0.0052,-3.12,-1.45,0.38,0.159104,0.040000
1778156517.2887716,26,0.2586,0,-5.0534,0.0733,-1.1317,0.023795,0.0052,-10.63,0.34,0.67,0.159104,0.038462
1778156517.304813,27,0.2537,0,-3.1735,0.1463,-1.0060,0.014768,0.0051,-16.15,2.79,1.14,0.159104,0.037037
1778156517.321085,28,0.2502,0,-1.8986,0.1912,-0.8245,0.006168,0.0052,-18.69,4.99,1.86,0.159104,0.035714
1778156517.3362675,29,0.2479,0,-1.0902,0.2155,-0.6131,0.001451,0.0043,-20.78,6.00,2.31,0.159104,0.034483
1778156517.3522635,30,0.2449,0,-1.0338,0.2093,-0.4089,0.001751,0.0051,-21.28,6.13,2.40,0.159104,0.033333
1778156517.3682525,31,0.2409,0,-2.2371,0.1552,-0.2692,0.018289,0.0051,-16.42,6.45,2.20,0.159104,0.032258
1778156517.3842196,32,0.2364,0,-4.1766,0.0764,-0.2222,0.038637,0.0051,-7.34,6.89,1.63,0.159104,0.031250
1778156517.400408,33,0.2314,0,-6.6071,-0.0159,-0.2828,0.035326,0.0052,2.60,6.84,0.53,0.159104,0.030303
1778156517.4164805,34,0.2279,0,-9.1765,-0.1085,-0.4501,0.015663,0.0051,12.52,5.78,-0.68,0.159104,0.029412
1778156517.4334445,35,0.2270,0,-10.7952,-0.1630,-0.6792,0.006683,0.0059,20.16,4.01,-1.06,0.159104,0.028571
1778156517.4503636,36,0.2277,0,-11.7067,-0.1902,-0.9380,0.003312,0.0059,23.71,1.88,-0.52,0.159104,0.027778
1778156517.4672997,37,0.2289,0,-12.3473,-0.2066,-1.2138,0.000490,0.0059,26.42,-0.00,0.12,0.159104,0.027027
1778156517.4841614,38,0.2301,0,-12.6506,-0.2101,-1.4919,0.000237,0.0059,28.16,-1.13,0.61,0.159104,0.026316
1778156517.5009992,39,0.2295,0,-13.1059,-0.2191,-1.7780,0.001884,0.0059,27.91,-2.00,1.04,0.159104,0.025641
1778156517.5177183,40,0.2261,0,-14.0368,-0.2447,-2.0906,0.007111,0.0059,25.46,-3.17,1.29,0.159104,0.025000
1778156517.5344622,41,0.2212,0,-15.2498,-0.2788,-2.4389,0.010111,0.0059,19.54,-5.08,1.07,0.159104,0.024390
1778156517.5513756,42,0.2188,0,-16.0200,-0.2959,-2.8039,0.006764,0.0059,12.20,-7.03,0.80,0.159104,0.023810
1778156517.568348,43,0.2219,0,-14.4670,-0.2306,-3.0935,0.039353,0.0059,5.04,-7.32,0.81,0.159104,0.023256
1778156517.5851634,44,0.2300,0,-10.8552,-0.0900,-3.2236,0.096006,0.0059,0.72,-4.03,0.29,0.159104,0.022727
1778156517.6015606,45,0.2390,0,-7.0937,0.0565,-3.1880,0.095406,0.0059,1.96,4.90,-1.43,0.159104,0.022222
1778156517.618489,46,0.2437,0,-3.9367,0.1767,-3.0162,0.044385,0.0059,8.76,17.96,-6.23,0.159104,0.021739
1778156517.63544,47,0.2436,0,-1.4669,0.2656,-2.7439,0.014180,0.0060,18.52,30.97,-13.56,0.159104,0.021277
1778156517.6530788,48,0.2403,0,0.3264,0.3240,-2.4061,0.004858,0.0059,28.12,41.25,-21.47,0.159104,0.020833
1778156517.6706874,49,0.2363,0,1.5096,0.3563,-2.0327,0.001432,0.0059,35.18,47.50,-27.89,0.159104,0.020408
1778156517.6882899,50,0.2338,0,1.7892,0.3535,-1.6630,0.000844,0.0058,37.07,49.08,-29.78,0.159104,0.020000
1778156517.7057672,51,0.2310,0,0.4708,0.2920,-1.3626,0.004949,0.0059,36.07,46.70,-28.18,0.159104,0.019608
1778156517.722241,52,0.2275,0,-0.7052,0.2389,-1.1219,0.005241,0.0049,35.17,42.32,-25.46,0.159104,0.019231
1778156517.7378027,53,0.2245,0,-1.4656,0.2032,-0.9210,0.003102,0.0050,34.02,38.21,-22.61,0.159104,0.018868
1778156517.7536044,54,0.2216,0,-2.0254,0.1763,-0.7500,0.000483,0.0051,32.07,36.12,-20.27,0.159104,0.018519
1778156517.7697403,55,0.2188,0,-1.9886,0.1714,-0.5842,0.000354,0.0052,27.23,36.12,-17.07,0.159104,0.018182
