time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1778156520.2375627,1,0.9996,0,24.1304,24.1202,24.1304,0.629163,0.0051,-8.13,1.000000,1.000000
1778156520.25683,2,0.9995,0,24.1745,12.0883,30.1996,0.563522,0.0042,-11.21,0.500000,0.500000
1778156520.2751431,3,0.9994,0,24.1935,8.0675,33.5785,0.519792,0.0051,-13.84,0.333333,0.333333
1778156520.2944007,4,0.9994,0,24.0767,6.0226,35.7223,0.549272,0.0043,-13.24,0.250000,0.250000
1778156520.3165796,5,0.9995,0,24.0249,4.8084,37.2313,0.640576,0.0051,-10.10,0.200000,0.200000
1778156520.3371317,6,0.9995,0,23.6015,3.9368,38.2417,0.708045,0.0050,-9.44,0.166667,0.166667
1778156520.3560002,7,0.9995,0,23.5160,3.3625,39.0215,0.699978,0.0051,-9.73,0.142857,0.142857
1778156520.3749619,8,0.9994,0,23.5473,2.9463,39.6667,0.635142,0.0050,-12.84,0.125000,0.125000
1778156520.3934507,9,0.9993,0,23.9637,2.6654,40.2926,0.626737,0.0050,-16.03,0.111111,0.111111
1778156520.4136398,10,0.9993,0,24.2246,2.4252,40.8697,0.629249,0.0050,-14.79,0.100000,0.100000
1778156520.4321425,11,0.9993,0,24.2684,2.2088,41.3698,0.664883,0.0050,-13.50,0.090909,0.090909
1778156520.4561238,12,0.9992,0,24.3948,2.0354,41.8222,0.688864,0.0050,-11.26,0.083333,0.083333
1778156520.4858868,13,0.9991,0,24.0797,1.8548,42.1709,0.629888,0.0050,-10.06,0.076923,0.076923
1778156520.5027099,14,0.9991,0,24.3226,1.7398,42.5128,0.562956,0.0050,-10.30,0.071429,0.071429
1778156520.5195947,15,0.9992,0,24.6051,1.6427,42.8532,0.548264,0.0051,-7.91,0.066667,0.066667
1778156520.5356562,16,0.9994,0,24.5168,1.5346,43.1466,0.590899,0.0050,-5.93,0.062500,0.062500
1778156520.5515308,17,0.9993,0,24.4551,1.4407,43.4039,0.680515,0.0050,-2.61,0.058824,0.058824
1778156520.56825,18,0.9987,0,24.2363,1.3486,43.6142,0.789393,0.0050,0.96,0.055556,0.055556
1778156520.5851474,19,0.9979,0,24.0824,1.2697,43.7914,0.836849,0.0050,2.50,0.052632,0.052632
1778156520.602077,20,0.9975,0,24.3566,1.2201,43.9813,0.841088,0.0059,3.35,0.050000,0.050000
1778156520.6189365,21,0.9978,0,24.5534,1.1715,44.1740,0.770910,0.0057,1.59,0.047619,0.047619
1778156520.6349504,22,0.9984,0,24.9632,1.1369,44.3875,0.645940,0.0050,0.26,0.045455,0.045455
1778156520.6518118,23,0.9990,0,24.9402,1.0865,44.5821,0.586611,0.0050,-2.23,0.043478,0.043478
1778156520.6686347,24,0.9994,0,24.4149,1.0194,44.7193,0.622510,0.0057,-4.53,0.041667,0.041667
1778156520.6847618,25,0.9994,0,23.5709,0.9449,44.7810,0.865773,0.0050,-0.69,0.040000,0.040000
1778156520.7007122,26,0.9995,0,22.5836,0.8706,44.7648,1.020973,0.0050,5.95,0.038462,0.038462
1778156520.716478,27,0.9998,0,21.7887,0.8089,44.6930,1.111454,0.0050,14.14,0.037037,0.037037
1778156520.7323334,28,1.0000,0,21.1742,0.7581,44.5841,1.186237,0.0050,24.79,0.035714,0.035714
1778156520.7483332,29,1.0000,0,20.9707,0.7250,44.4698,1.192009,0.0051,31.06,0.034483,0.034483
1778156520.763693,30,1.0000,0,20.8958,0.6977,44.3585,1.198703,0.0050,32.02,0.034064,0.033333
1778156520.7789478,31,1.0000,0,21.2784,0.6870,44.2788,1.308641,0.0050,34.47,0.034064,0.032258
1778156520.7951677,32,1.0000,0,22.0657,0.6904,44.2535,1.449405,0.0051,36.95,0.034064,0.031250
1778156520.8112643,33,1.0000,0,23.0416,0.7001,44.2896,1.415010,0.0051,33.93,0.034064,0.030303
1778156520.8272638,34,1.0000,0,24.0453,0.7105,44.3838,1.190909,0.0051,27.30,0.034064,0.029412
1778156520.843925,35,0.9999,0,24.6558,0.7071,44.5070,0.889715,0.0058,16.49,0.034064,0.028571
1778156520.8613763,36,0.9998,0,24.9222,0.6920,44.6359,0.567991,0.0058,0.48,0.034064,0.027778
1778156520.8788886,37,0.9997,0,25.0186,0.6718,44.7595,0.351873,0.0058,-11.22,0.034064,0.027027
1778156520.8964853,38,0.9996,0,25.0317,0.6493,44.8728,0.260822,0.0058,-17.52,0.034064,0.026316
1778156520.914078,39,0.9995,0,25.0159,0.6267,44.9745,0.234452,0.0058,-19.77,0.034064,0.025641
1778156520.931786,40,0.9994,0,25.0549,0.6067,45.0683,0.268231,0.0058,-17.14,0.034064,0.025000
1778156520.9494367,41,0.9991,0,24.9810,0.5835,45.1481,0.342053,0.0058,-13.40,0.034064,0.024390
1778156520.9670806,42,0.9987,0,24.7672,0.5564,45.2066,0.476784,0.0058,-6.78,0.034064,0.023810
1778156520.9847295,43,0.9987,0,24.4278,0.5259,45.2378,0.743248,0.0058,2.26,0.034064,0.023256
1778156521.0014384,44,0.9988,0,23.7005,0.4833,45.2212,1.112322,0.0050,12.30,0.034064,0.022727
1778156521.0181787,45,0.9981,0,22.7838,0.4357,45.1495,1.543863,0.0050,25.12,0.034064,0.022222
1778156521.0357592,46,0.9959,0,22.4567,0.4098,45.0592,1.797171,0.0057,38.53,0.034064,0.021739
1778156521.0534253,47,0.9919,0,22.0479,0.3821,44.9476,1.950831,0.0058,47.22,0.034064,0.021277
1778156521.070108,48,0.9873,0,22.2310,0.3755,44.8481,1.995565,0.0058,50.66,0.034064,0.020833
1778156521.0876234,49,0.9837,0,22.5964,0.3751,44.7690,1.933775,0.0058,51.83,0.034064,0.020408
1778156521.1054006,50,0.9828,0,22.4998,0.3593,44.6836,1.941007,0.0058,51.38,0.034064,0.020000
1778156521.1230676,51,0.9846,0,22.7228,0.3548,44.6075,1.907049,0.0058,52.87,0.034064,0.019608
1778156521.140724,52,0.9873,0,22.9285,0.3497,44.5390,1.904321,0.0058,57.72,0.034064,0.019231
1778156521.1576104,53,0.9897,0,23.2972,0.3504,44.4861,1.857631,0.0057,60.91,0.034064,0.018868
1778156521.173448,54,0.9912,0,23.4755,0.3446,44.4387,1.746571,0.0058,59.57,0.034064,0.018519
1778156521.189313,55,0.9918,0,23.5090,0.3341,44.3894,1.608462,0.0058,52.11,0.034064,0.018182
1778156521.205227,56,0.9929,0,23.3642,0.3179,44.3288,1.446266,0.0058,41.91,0.034064,0.017857
1778156521.2211635,57,0.9949,0,23.1455,0.2997,44.2535,1.283273,0.0050,31.60,0.034064,0.017544
1778156521.2373133,58,0.9970,0,23.7197,0.3090,44.2042,1.190306,0.0051,22.83,0.034064,0.017241
1778156521.2541342,59,0.9985,0,23.7862,0.3008,44.1544,1.043782,0.0050,16.47,0.034064,0.016949
1778156521.2707632,60,0.9988,0,24.0122,0.2982,44.1123,0.933575,0.0050,10.64,0.034064,0.016667
1778156521.287689,61,0.9980,0,24.3743,0.3004,44.0848,0.791771,0.0050,4.58,0.034064,0.016393
1778156521.305393,62,0.9968,0,24.0454,0.2790,44.0372,0.673015,0.0058,-1.44,0.034064,0.016129
1778156521.3230147,63,0.9959,0,24.2890,0.2778,43.9984,0.603732,0.0058,-5.28,0.034064,0.015873
1778156521.3407447,64,0.9954,0,24.2488,0.2670,43.9542,0.589117,0.0058,-7.28,0.034064,0.015625
1778156521.3584259,65,0.9957,0,23.9542,0.2480,43.8920,0.676246,0.0058,-5.36,0.034064,0.015385
1778156521.376222,66,0.9967,0,23.3113,0.2177,43.7956,0.889765,0.0058,0.20,0.034064,0.015152
1778156521.393047,67,0.9979,0,22.7313,0.1906,43.6697,1.077980,0.0050,6.92,0.034064,0.014925
1778156521.4098651,68,0.9988,0,22.1449,0.1642,43.5153,1.289742,0.0050,16.27,0.034064,0.014706
1778156521.426607,69,0.9986,0,21.7813,0.1462,43.3449,1.512207,0.0050,28.63,0.034064,0.014493
1778156521.4425008,70,0.9973,0,21.9702,0.1477,43.1859,1.712559,0.0050,42.18,0.034064,0.014286
1778156521.4593558,71,0.9955,0,22.2539,0.1523,43.0426,1.892251,0.0058,55.31,0.034064,0.014085
1778156521.4761407,72,0.9937,0,22.4135,0.1525,42.9083,1.998530,0.0058,63.31,0.034064,0.013889
1778156521.4928985,73,0.9924,0,22.9274,0.1648,42.7992,1.962750,0.0058,62.16,0.034064,0.013699
1778156521.5096288,74,0.9918,0,23.3840,0.1746,42.7113,1.771968,0.0058,50.54,0.034064,0.013514
1778156521.5264587,75,0.9917,0,23.7325,0.1805,42.6384,1.473554,0.0058,32.41,0.034064,0.013333
1778156521.5439916,76,0.9918,0,24.3203,0.1942,42.5911,1.031787,0.0058,12.63,0.034064,0.013158
1778156521.5615416,77,0.9917,0,24.5715,0.1962,42.5527,0.674627,0.0058,-4.54,0.034064,0.012987
1778156521.5781527,78,0.9907,0,24.7795,0.1966,42.5210,0.466174,0.0058,-15.56,0.034064,0.012821
1778156521.5948198,79,0.9884,0,24.9897,0.1970,42.4963,0.374261,0.0058,-20.96,0.034064,0.012658
1778156521.612391,80,0.9853,0,25.0432,0.1922,42.4711,0.371965,0.0058,-22.86,0.034064,0.012500
1778156521.6315541,81,0.9825,0,25.0581,0.1863,42.4440,0.414873,0.0058,-23.46,0.034064,0.012346
1778156521.654003,82,0.9803,0,24.9046,0.1749,42.4071,0.457475,0.0059,-23.49,0.034064,0.012195
1778156521.6759748,83,0.9792,0,24.7527,0.1640,42.3609,0.477155,0.0059,-23.60,0.034064,0.012048
1778156521.6957357,84,0.9786,0,24.7527,0.1586,42.3125,0.475901,0.0057,-23.68,0.034064,0.011905
1778156521.7175071,85,0.9781,0,24.8077,0.1551,42.2644,0.490410,0.0057,-23.71,0.034064,0.011765
1778156521.7368526,86,0.9781,0,24.5613,0.1417,42.2032,0.531927,0.0058,-23.68,0.034064,0.011628
1778156521.770337,87,0.9797,0,23.8803,0.1143,42.1098,0.631099,0.0058,-23.72,0.034064,0.011494
1778156521.7902489,88,0.9836,0,23.6221,0.1018,42.0039,0.593473,0.0058,-23.70,0.034064,0.011364
1778156521.8078709,89,0.9887,0,23.5754,0.0968,41.8948,0.507374,0.0058,-24.20,0.034064,0.011236
1778156521.8255863,90,0.9938,0,23.9865,0.1074,41.8033,0.435048,0.0058,-25.77,0.034064,0.011111
1778156521.8439705,91,0.9977,0,24.6913,0.1277,41.7421,0.287772,0.0058,-24.63,0.034064,0.010989
1778156521.860713,92,0.9994,0,25.0694,0.1363,41.6957,0.282935,0.0050,-21.31,0.034064,0.010870
1778156521.877491,93,0.9996,0,25.0739,0.1318,41.6474,0.341073,0.0050,-19.03,0.034064,0.010753
1778156521.8943298,94,0.9992,0,24.8775,0.1206,41.5885,0.423043,0.0051,-15.47,0.034064,0.010638
1778156521.911052,95,0.9986,0,24.8689,0.1162,41.5277,0.458651,0.0050,-14.16,0.034064,0.010526
1778156521.9278672,96,0.9981,0,24.7028,0.1066,41.4583,0.476690,0.0050,-14.62,0.034064,0.010417
1778156521.9447825,97,0.9977,0,24.6234,0.1003,41.3844,0.502901,0.0050,-13.08,0.034064,0.010309
1778156521.9615262,98,0.9976,0,24.6686,0.0984,41.3117,0.532017,0.0050,-11.13,0.034064,0.010204
1778156521.9782584,99,0.9976,0,24.6730,0.0952,41.2383,0.590848,0.0050,-8.55,0.034064,0.010101
1778156521.9950747,100,0.9980,0,24.6129,0.0899,41.1614,0.695501,0.0050,-4.23,0.034064,0.010000
1778156522.0119066,101,0.9985,0,24.7403,0.0912,41.0894,0.809025,0.0050,1.28,0.034064,0.009901
1778156522.028687,102,0.9990,0,24.5657,0.0822,41.0089,0.956365,0.0051,6.36,0.034064,0.009804
1778156522.0456138,103,0.9994,0,24.3884,0.0733,40.9203,1.071261,0.0051,9.51,0.034064,0.009709
1778156522.0616338,104,0.9992,0,24.2801,0.0672,40.8269,1.078661,0.0050,8.27,0.034064,0.009615
