time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1778158345.1405303,1,0.0197,1,0.0000,0.0000,0.0000,0.182348,0.0048,25.75,32.08,-12.57,1.000000,1.000000
1778158345.157416,2,0.0197,1,0.0000,0.0000,0.0000,0.245608,0.0046,24.21,27.84,-10.17,0.500000,0.500000
1778158345.1731913,3,0.0195,1,0.0000,0.0000,0.0000,0.300753,0.0045,20.38,23.78,-6.81,0.333333,0.333333
1778158345.18908,4,0.0192,1,0.0000,0.0000,0.0000,0.317749,0.0045,16.46,22.34,-4.18,0.250000,0.250000
1778158345.2048485,5,0.0190,1,0.0000,0.0000,0.0000,0.287387,0.0043,14.78,24.40,-4.06,0.200000,0.200000
1778158345.220184,6,0.0190,1,0.0000,0.0000,0.0000,0.238448,0.0042,15.26,27.56,-5.40,0.166667,0.166667
1778158345.2363482,7,0.0191,1,0.0000,0.0000,0.0000,0.251817,0.0046,17.34,27.32,-6.00,0.159104,0.159104
1778158345.252322,8,0.0192,1,0.0000,0.0000,0.0000,0.334130,0.0044,16.89,22.65,-4.69,0.159104,0.159104
1778158345.268085,9,0.0197,1,0.0000,0.0000,0.0000,0.407555,0.0043,13.32,16.54,-2.12,0.159104,0.159104
1778158345.2838101,10,0.0212,1,0.0000,0.0000,0.0000,0.420819,0.0044,10.36,14.39,-0.25,0.159104,0.159104
1778158345.2998104,11,0.0276,1,0.0000,0.0000,0.0000,0.376618,0.0046,8.84,15.92,-0.25,0.159104,0.159104
1778158345.3154752,12,0.0471,1,0.0000,0.0000,0.0000,0.294226,0.0044,11.71,19.12,-2.14,0.159104,0.159104
1778158345.3310425,13,0.0737,1,0.0000,0.0000,0.0000,0.250187,0.0043,16.64,20.22,-3.56,0.159104,0.159104
1778158345.347072,14,0.1058,0,-0.6341,-0.0107,-0.0212,0.265835,0.0050,18.78,16.44,-3.33,0.159104,0.159104
1778158345.3621168,15,0.1376,0,-0.9013,-0.0163,-0.0564,0.285886,0.0042,18.84,10.74,-1.92,0.159104,0.159104
1778158345.3772285,16,0.1654,0,-1.0563,-0.0199,-0.1021,0.266697,0.0042,15.27,7.20,-0.19,0.159104,0.159104
1778158345.3923805,17,0.1892,0,-1.0670,-0.0197,-0.1502,0.215032,0.0043,11.23,7.37,0.58,0.159104,0.159104
1778158345.4076993,18,0.2103,0,-0.9409,-0.0148,-0.1910,0.143406,0.0043,9.07,11.23,-0.10,0.159104,0.159104
1778158345.4234436,19,0.2299,0,-0.7758,-0.0082,-0.2202,0.068414,0.0050,8.73,15.97,-1.59,0.159104,0.159104
1778158345.4392405,20,0.2475,0,-0.7148,-0.0055,-0.2450,0.034912,0.0050,10.94,18.08,-2.72,0.159104,0.159104
1778158345.4551084,21,0.2617,0,-0.8418,-0.0105,-0.2799,0.047519,0.0050,13.57,15.58,-2.61,0.159104,0.159104
1778158345.471339,22,0.2698,0,-1.1648,-0.0240,-0.3408,0.109734,0.0052,15.31,8.37,-1.15,0.159104,0.159104
1778158345.4876366,23,0.2716,0,-1.4629,-0.0358,-0.4236,0.156777,0.0052,12.10,0.63,0.28,0.159104,0.159104
1778158345.5037239,24,0.2689,0,-1.6215,-0.0411,-0.5141,0.167603,0.0051,4.73,-4.99,1.19,0.159104,0.159104
1778158345.520105,25,0.2640,0,-1.5926,-0.0381,-0.5960,0.149613,0.0051,-2.88,-6.36,1.45,0.159104,0.159104
1778158345.536558,26,0.2586,0,-1.3470,-0.0264,-0.6522,0.088937,0.0051,-10.50,-3.33,0.96,0.159104,0.159104
1778158345.5530078,27,0.2537,0,-1.0698,-0.0142,-0.6827,0.035208,0.0052,-16.09,0.69,1.08,0.159104,0.159104
1778158345.568277,28,0.2502,0,-0.8817,-0.0061,-0.6965,0.010862,0.0044,-18.66,3.98,1.78,0.159104,0.159104
1778158345.583873,29,0.2479,0,-0.7602,-0.0011,-0.7001,0.001937,0.0044,-20.77,5.67,2.27,0.159104,0.159104
1778158345.5993736,30,0.2449,0,-0.7529,-0.0008,-0.7029,0.002093,0.0043,-21.27,5.85,2.37,0.159104,0.159104
1778158345.614563,31,0.2409,0,-0.9390,-0.0079,-0.7195,0.025314,0.0042,-16.38,5.17,2.14,0.159104,0.159104
1778158345.6300337,32,0.2364,0,-1.2332,-0.0186,-0.7568,0.073076,0.0051,-7.27,4.06,1.94,0.159104,0.159104
1778158345.6452677,33,0.2314,0,-1.5924,-0.0312,-0.8176,0.130230,0.0050,2.66,2.17,1.87,0.159104,0.159104
1778158345.6613061,34,0.2279,0,-1.9736,-0.0439,-0.9018,0.203791,0.0050,12.60,-0.61,2.41,0.159104,0.159104
1778158345.6773667,35,0.2270,0,-2.2486,-0.0522,-1.0008,0.267052,0.0050,20.35,-3.10,3.62,0.159104,0.159104
1778158345.6933584,36,0.2277,0,-2.4498,-0.0576,-1.1088,0.307629,0.0050,24.12,-5.49,5.04,0.159104,0.159104
1778158345.7092426,37,0.2289,0,-2.6272,-0.0620,-1.2238,0.336411,0.0050,27.04,-7.45,6.36,0.159104,0.159104
1778158345.7253938,38,0.2301,0,-2.7685,-0.0649,-1.3429,0.348355,0.0051,28.93,-8.50,7.21,0.159104,0.159104
1778158345.741314,39,0.2295,0,-2.9114,-0.0677,-1.4654,0.366609,0.0050,28.82,-9.63,7.84,0.159104,0.159104
1778158345.7571995,40,0.2261,0,-3.0695,-0.0710,-1.5916,0.407414,0.0051,26.57,-11.67,8.22,0.159104,0.159104
1778158345.773044,41,0.2212,0,-3.2163,-0.0737,-1.7198,0.453741,0.0050,20.81,-15.04,7.60,0.159104,0.159104
1778158345.7882295,42,0.2188,0,-3.3378,-0.0753,-1.8488,0.472653,0.0051,13.52,-18.27,6.25,0.159104,0.159104
1778158345.8041847,43,0.2219,0,-3.3140,-0.0718,-1.9698,0.409261,0.0051,6.08,-17.79,4.37,0.159104,0.159104
1778158345.820055,44,0.2300,0,-3.0804,-0.0606,-2.0689,0.290005,0.0050,1.17,-11.55,2.27,0.159104,0.159104
1778158345.8351593,45,0.2390,0,-2.7384,-0.0453,-2.1380,0.160698,0.0050,1.87,0.72,-0.16,0.159104,0.159104
1778158345.8510988,46,0.2437,0,-2.3764,-0.0295,-2.1756,0.052681,0.0051,8.47,16.55,-5.53,0.159104,0.159104
1778158345.866949,47,0.2436,0,-2.0933,-0.0174,-2.1892,0.015314,0.0050,18.79,31.48,-14.00,0.159104,0.159104
1778158345.8830364,48,0.2403,0,-1.9639,-0.0118,-2.1919,0.016006,0.0052,29.67,42.88,-23.70,0.159104,0.159104
1778158345.8988128,49,0.2363,0,-1.9472,-0.0107,-2.1930,0.019579,0.0050,38.25,49.67,-32.01,0.159104,0.159104
1778158345.9146686,50,0.2338,0,-1.9604,-0.0108,-2.1948,0.019548,0.0050,40.62,51.35,-34.47,0.159104,0.159104
1778158345.9304204,51,0.2310,0,-2.0214,-0.0127,-2.2006,0.014123,0.0050,38.22,48.27,-31.11,0.159104,0.159104
1778158345.9460878,52,0.2275,0,-2.0865,-0.0146,-2.2106,0.008587,0.0050,36.16,43.22,-26.93,0.159104,0.159104
1778158345.961772,53,0.2245,0,-2.1459,-0.0162,-2.2238,0.004040,0.0049,34.41,38.67,-23.25,0.159104,0.159104
1778158345.9767053,54,0.2216,0,-2.2056,-0.0177,-2.2403,0.000554,0.0042,32.16,36.25,-20.43,0.159104,0.159104
1778158345.9916117,55,0.2188,0,-2.2172,-0.0175,-2.2563,0.000467,0.0041,27.33,36.29,-17.25,0.159104,0.159104
1778158346.0065217,56,0.2158,0,-2.2446,-0.0178,-2.2732,0.000531,0.0042,18.41,34.97,-11.78,0.159104,0.159104
1778158346.021405,57,0.2131,0,-2.3333,-0.0202,-2.2948,0.004571,0.0042,7.73,30.05,-5.49,0.159104,0.159104
1778158346.0372212,58,0.2111,0,-2.5757,-0.0277,-2.3309,0.037705,0.0050,-0.94,19.98,-0.97,0.159104,0.159104
1778158346.0528555,59,0.2113,0,-2.9250,-0.0385,-2.3881,0.103421,0.0049,-5.95,6.80,0.57,0.159104,0.159104
1778158346.0684745,60,0.2138,0,-3.3254,-0.0508,-2.4691,0.204548,0.0049,-8.64,-6.58,0.11,0.159104,0.159104
1778158346.084069,61,0.2169,0,-3.7334,-0.0631,-2.5737,0.341546,0.0049,-9.90,-18.77,-1.25,0.159104,0.159104
1778158346.099739,62,0.2196,0,-4.0311,-0.0713,-2.6935,0.474212,0.0049,-10.95,-27.31,-2.51,0.159104,0.159104
1778158346.1162875,63,0.2213,0,-4.2499,-0.0765,-2.8221,0.570867,0.0059,-11.62,-32.79,-3.42,0.159104,0.159104
1778158346.1333182,64,0.2220,0,-4.3772,-0.0783,-2.9526,0.584230,0.0058,-12.75,-34.59,-4.27,0.159104,0.159104
1778158346.1487062,65,0.2218,0,-4.3782,-0.0756,-3.0758,0.495499,0.0051,-14.12,-31.84,-4.60,0.159104,0.159104
1778158346.1648939,66,0.2209,0,-4.2309,-0.0678,-3.1818,0.345655,0.0051,-15.04,-24.61,-3.91,0.159104,0.159104
1778158346.1809425,67,0.2188,0,-3.9541,-0.0558,-3.2625,0.187375,0.0051,-15.58,-13.84,-2.45,0.159104,0.159104
1778158346.1972957,68,0.2149,0,-3.6562,-0.0437,-3.3182,0.072489,0.0051,-13.45,-0.99,-0.64,0.159104,0.159104
1778158346.213785,69,0.2095,0,-3.4142,-0.0342,-3.3544,0.016855,0.0052,-7.28,12.24,-0.60,0.159104,0.159104
1778158346.230156,70,0.2033,0,-3.2799,-0.0287,-3.3798,0.003229,0.0051,3.51,23.46,-4.69,0.159104,0.159104
1778158346.2463024,71,0.1977,0,-3.2560,-0.0271,-3.4021,0.003726,0.0051,16.92,31.43,-11.87,0.159104,0.159104
1778158346.2628078,72,0.1929,0,-3.2706,-0.0267,-3.4239,0.005183,0.0052,29.00,37.19,-20.19,0.159104,0.159104
1778158346.2792475,73,0.1885,0,-3.2895,-0.0264,-3.4455,0.006582,0.0052,37.88,40.67,-27.56,0.159104,0.159104
1778158346.2953815,74,0.1847,0,-3.2846,-0.0255,-3.4655,0.012134,0.0051,40.85,43.50,-31.16,0.159104,0.159104
1778158346.3129303,75,0.1806,0,-3.2671,-0.0243,-3.4834,0.021451,0.0052,39.70,46.74,-31.68,0.159104,0.159104
1778158346.3291323,76,0.1752,0,-3.2945,-0.0244,-3.5018,0.021910,0.0050,39.10,48.79,-31.99,0.159104,0.159104
1778158346.3450708,77,0.1702,0,-3.3689,-0.0257,-3.5233,0.021164,0.0050,40.34,49.49,-33.31,0.159104,0.159104
1778158346.3602598,78,0.1683,0,-3.4938,-0.0284,-3.5501,0.021371,0.0042,43.96,49.58,-36.52,0.159104,0.159104
1778158346.3762765,79,0.1733,0,-3.6096,-0.0308,-3.5817,0.012577,0.0051,51.15,49.98,-43.62,0.159104,0.159104
1778158346.391482,80,0.1848,0,-3.6553,-0.0312,-3.6141,0.014165,0.0043,61.45,51.29,-55.22,0.159104,0.159104
1778158346.406673,81,0.1955,0,-3.6698,-0.0307,-3.6456,0.017660,0.0043,74.20,53.28,-70.82,0.159104,0.159104
1778158346.421956,82,0.2026,0,-3.6536,-0.0292,-3.6741,0.011559,0.0043,88.33,54.45,-88.27,0.159104,0.159104
1778158346.4366555,83,0.2046,0,-3.6463,-0.0280,-3.7003,0.012220,0.0045,101.31,54.19,-104.05,0.159104,0.159104
1778158346.4511712,84,0.2021,0,-3.6584,-0.0275,-3.7256,0.016661,0.0043,109.98,53.17,-114.23,0.159104,0.159104
1778158346.467256,85,0.2003,0,-3.6683,-0.0269,-3.7498,0.016757,0.0051,112.42,52.71,-116.90,0.159104,0.159104
1778158346.4833856,86,0.2012,0,-3.6835,-0.0266,-3.7734,0.018495,0.0051,106.37,53.47,-109.62,0.159104,0.159104
1778158346.4988565,87,0.2034,0,-3.6649,-0.0251,-3.7942,0.024734,0.0044,92.11,53.36,-92.63,0.159104,0.159104
1778158346.5152225,88,0.2059,0,-3.6598,-0.0241,-3.8131,0.019619,0.0052,72.64,49.06,-68.69,0.159104,0.159104
1778158346.530356,89,0.2074,0,-3.8005,-0.0280,-3.8397,0.024792,0.0042,52.19,39.79,-42.68,0.159104,0.159104
1778158346.5462239,90,0.2054,0,-4.0732,-0.0360,-3.8821,0.065549,0.0051,34.59,26.69,-21.29,0.159104,0.159104
1778158346.5620904,91,0.2001,0,-4.4492,-0.0468,-3.9455,0.124812,0.0050,21.72,12.65,-7.41,0.159104,0.159104
1778158346.5772345,92,0.1928,0,-4.8557,-0.0578,-4.0294,0.201843,0.0051,12.55,0.79,-0.77,0.159104,0.159104
1778158346.593205,93,0.1857,0,-5.1585,-0.0651,-4.1259,0.305229,0.0051,3.92,-9.40,1.12,0.159104,0.159104
1778158346.6086395,94,0.1810,0,-5.3591,-0.0690,-4.2284,0.418121,0.0051,-2.07,-18.38,0.72,0.159104,0.159104
1778158346.6239376,95,0.1795,0,-5.5080,-0.0712,-4.3342,0.510511,0.0051,-6.05,-25.89,-0.39,0.159104,0.159104
