time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1778159309.7843697,1,0.0197,1,-0.1052,0.0000,0.0000,0.182348,0.0046,25.78,32.17,-12.63,1.000000,1.000000
1778159309.8008528,2,0.0197,1,-0.1181,0.0000,0.0000,0.245608,0.0046,24.24,27.94,-10.22,0.500000,0.500000
1778159309.81723,3,0.0195,1,-0.1278,0.0000,0.0000,0.300753,0.0047,20.41,23.90,-6.86,0.333333,0.333333
1778159309.8334568,4,0.0192,1,-0.1303,0.0000,0.0000,0.317749,0.0046,16.47,22.47,-4.22,0.250000,0.250000
1778159309.8496804,5,0.0190,1,-0.1218,0.0000,0.0000,0.287387,0.0046,14.79,24.52,-4.10,0.200000,0.200000
1778159309.8659556,6,0.0190,1,-0.1128,0.0000,0.0000,0.238448,0.0046,15.28,27.67,-5.44,0.166667,0.166667
1778159309.8821657,7,0.0191,1,-0.1161,0.0000,0.0000,0.251817,0.0046,17.36,27.43,-6.04,0.142857,0.142857
1778159309.898349,8,0.0192,1,-0.1254,0.0000,0.0000,0.334130,0.0046,16.91,22.77,-4.73,0.125000,0.125000
1778159309.9145536,9,0.0197,1,-0.1392,0.0000,0.0000,0.407555,0.0046,13.33,16.67,-2.15,0.111111,0.111111
1778159309.9306705,10,0.0212,1,-0.1509,0.0000,0.0000,0.420819,0.0046,10.36,14.54,-0.28,0.100000,0.100000
1778159309.9468677,11,0.0276,1,-0.1750,0.0000,0.0000,0.376618,0.0046,8.85,16.10,-0.29,0.090909,0.090909
1778159309.9630158,12,0.0471,1,-0.2564,0.0000,0.0000,0.294226,0.0046,11.73,19.36,-2.20,0.083333,0.083333
1778159309.9791799,13,0.0737,1,-0.4065,0.0000,0.0000,0.250187,0.0045,16.69,20.60,-3.71,0.076923,0.076923
1778159309.996304,14,0.1058,0,-0.6341,-0.0017,-0.0065,0.265835,0.0054,18.78,16.44,-3.33,0.071429,0.071429
1778159310.0135005,15,0.1376,0,-0.8875,-0.0040,-0.0186,0.286387,0.0056,18.84,10.73,-1.92,0.066667,0.066667
1778159310.029661,16,0.1654,0,-1.0214,-0.0054,-0.0343,0.268165,0.0046,15.27,7.17,-0.18,0.062500,0.062500
1778159310.045925,17,0.1892,0,-1.0059,-0.0051,-0.0501,0.217579,0.0046,11.23,7.31,0.60,0.058824,0.058824
1778159310.0621579,18,0.2103,0,-0.8527,-0.0033,-0.0628,0.146498,0.0046,9.07,11.15,-0.07,0.055556,0.055556
1778159310.0792863,19,0.2299,0,-0.6651,-0.0010,-0.0710,0.071365,0.0054,8.72,15.86,-1.54,0.052632,0.052632
1778159310.0962486,20,0.2475,0,-0.5887,-0.0000,-0.0775,0.037840,0.0054,10.93,17.97,-2.66,0.050000,0.050000
1778159310.1133687,21,0.2617,0,-0.7030,-0.0014,-0.0867,0.051490,0.0055,13.56,15.46,-2.55,0.047619,0.047619
1778159310.1302867,22,0.2698,0,-1.0061,-0.0051,-0.1030,0.116496,0.0054,15.30,8.23,-1.06,0.045455,0.045455
1778159310.1472964,23,0.2716,0,-1.2678,-0.0082,-0.1249,0.167323,0.0054,12.10,0.46,0.37,0.043478,0.043478
1778159310.164276,24,0.2689,0,-1.3753,-0.0093,-0.1481,0.181786,0.0054,4.74,-5.22,1.27,0.041667,0.041667
1778159310.1812603,25,0.2640,0,-1.2886,-0.0083,-0.1683,0.165366,0.0054,-2.87,-6.65,1.52,0.040000,0.040000
1778159310.1984894,26,0.2586,0,-0.9905,-0.0052,-0.1816,0.101984,0.0055,-10.48,-3.68,0.98,0.038462,0.038462
1778159310.2154522,27,0.2537,0,-0.6769,-0.0022,-0.1885,0.043539,0.0054,-16.07,0.30,1.07,0.037037,0.037037
1778159310.2315755,28,0.2502,0,-0.4684,-0.0003,-0.1914,0.015452,0.0046,-18.64,3.57,1.75,0.035714,0.035714
1778159310.2479491,29,0.2479,0,-0.3367,0.0008,-0.1918,0.003985,0.0047,-20.76,5.25,2.22,0.034483,0.034483
1778159310.264231,30,0.2449,0,-0.3253,0.0009,-0.1921,0.003929,0.0046,-21.25,5.42,2.31,0.033333,0.033333
1778159310.280443,31,0.2409,0,-0.5068,-0.0006,-0.1950,0.030772,0.0046,-16.37,4.74,2.12,0.032258,0.032258
1778159310.2974815,32,0.2364,0,-0.7866,-0.0026,-0.2020,0.084317,0.0054,-7.26,3.63,1.98,0.031250,0.031250
1778159310.3144007,33,0.2314,0,-1.1164,-0.0049,-0.2133,0.149057,0.0055,2.68,1.73,2.00,0.030303,0.030303
1778159310.3311522,34,0.2279,0,-1.4514,-0.0071,-0.2287,0.231847,0.0053,12.62,-1.08,2.63,0.029412,0.029412
1778159310.348112,35,0.2270,0,-1.6642,-0.0085,-0.2464,0.303371,0.0055,20.38,-3.58,3.94,0.028571,0.028571
1778159310.3648958,36,0.2277,0,-1.7928,-0.0092,-0.2653,0.351452,0.0053,24.17,-6.01,5.44,0.027778,0.027778
