time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1778159306.4902756,1,0.9996,0,18.2801,18.2725,18.2801,9.187141,0.0055,-7.92,1.000000,1.000000
1778159306.5066726,2,0.9995,0,22.7496,11.3745,26.2039,1.074449,0.0054,-11.18,0.500000,0.500000
1778159306.522707,3,0.9994,0,24.6792,8.2279,31.1828,0.579233,0.0052,-13.85,0.333333,0.333333
1778159306.5386376,4,0.9994,0,25.7935,6.4506,34.6751,1.291907,0.0053,-13.26,0.250000,0.250000
1778159306.5545936,5,0.9995,0,26.5981,5.3220,37.3188,2.308667,0.0053,-10.14,0.200000,0.200000
1778159306.5707989,6,0.9995,0,26.9154,4.4883,39.3263,3.475256,0.0054,-9.49,0.166667,0.166667
1778159306.5870461,7,0.9995,0,27.3348,3.9073,40.9635,4.376298,0.0053,-9.78,0.142857,0.142857
1778159306.6034172,8,0.9994,0,27.7537,3.4715,42.3511,5.096324,0.0054,-12.86,0.125000,0.125000
1778159306.6196296,9,0.9993,0,28.4056,3.1584,43.6104,5.599200,0.0054,-16.03,0.111111,0.111111
1778159306.6356041,10,0.9993,0,28.9087,2.8931,44.7453,6.155938,0.0052,-14.81,0.100000,0.100000
1778159306.6514814,11,0.9993,0,29.2160,2.6582,45.7512,6.831114,0.0052,-13.54,0.090909,0.090909
1778159306.6673577,12,0.9992,0,29.5543,2.4650,46.6623,7.396559,0.0052,-11.28,0.083333,0.083333
1778159306.6831005,13,0.9991,0,29.5344,2.2740,47.4453,8.130556,0.0052,-10.02,0.076923,0.076923
1778159306.6990366,14,0.9991,0,29.9069,2.1383,48.1795,8.427383,0.0053,-10.21,0.071429,0.071429
1778159306.7157688,15,0.9992,0,30.2987,2.0220,48.8757,8.723146,0.0052,-7.82,0.066667,0.066667
1778159306.7324939,16,0.9994,0,30.3991,1.9020,49.5048,9.319107,0.0052,-5.88,0.062500,0.062500
1778159306.7483432,17,0.9993,0,30.5031,1.7963,50.0785,9.910871,0.0052,-2.59,0.058824,0.058824
1778159306.764321,18,0.9987,0,30.4772,1.6952,50.5921,10.611935,0.0052,1.02,0.055556,0.055556
1778159306.780231,19,0.9979,0,30.4874,1.6067,51.0585,11.171911,0.0053,2.65,0.052632,0.052632
1778159306.7968683,20,0.9975,0,30.8102,1.5427,51.5143,11.326005,0.0052,3.59,0.050000,0.050000
1778159306.813542,21,0.9978,0,31.0715,1.4818,51.9543,11.460307,0.0052,1.83,0.047619,0.047619
1778159306.8305893,22,0.9984,0,31.4925,1.4336,52.3943,11.358164,0.0054,0.38,0.045455,0.045455
1778159306.8474188,23,0.9990,0,31.5848,1.3754,52.8060,11.667356,0.0052,-2.33,0.043478,0.043478
1778159306.864134,24,0.9994,0,31.2918,1.3059,53.1617,12.468536,0.0052,-4.89,0.041667,0.041667
1778159306.8808498,25,0.9994,0,30.7456,1.2319,53.4482,13.728713,0.0052,-1.26,0.040000,0.040000
1778159306.8976357,26,0.9995,0,30.0723,1.1586,53.6636,15.011972,0.0052,5.31,0.038462,0.038462
1778159306.9145792,27,0.9998,0,29.5272,1.0955,53.8248,16.032142,0.0054,13.48,0.037037,0.037037
1778159306.931529,28,1.0000,0,29.1030,1.0413,53.9460,16.842030,0.0053,24.15,0.035714,0.035714
1778159306.9474514,29,1.0000,0,28.9810,1.0011,54.0518,17.160342,0.0053,30.43,0.034483,0.034483
1778159306.9636064,30,1.0000,0,28.9515,0.9660,54.1489,17.341918,0.0053,31.38,0.034064,0.033333
1778159306.979719,31,1.0000,0,29.2592,0.9436,54.2592,17.176686,0.0054,33.86,0.034064,0.032258
1778159306.9958816,32,1.0000,0,29.8709,0.9323,54.4003,16.675792,0.0054,36.43,0.034064,0.031250
1778159307.0127347,33,1.0000,0,30.6312,0.9264,54.5784,15.869410,0.0053,33.52,0.034064,0.030303
1778159307.02947,34,1.0000,0,31.4261,0.9220,54.7924,14.900551,0.0052,27.03,0.034064,0.029412
1778159307.0461345,35,0.9999,0,31.9457,0.9083,55.0220,14.245494,0.0052,16.32,0.034064,0.028571
1778159307.0628774,36,0.9998,0,32.2128,0.8864,55.2503,13.887645,0.0053,0.35,0.034064,0.027778
1778159307.0804985,37,0.9997,0,32.3495,0.8609,55.4691,13.785200,0.0061,-11.33,0.034064,0.027027
1778159307.0979948,38,0.9996,0,32.4174,0.8339,55.6747,13.875697,0.0060,-17.63,0.034064,0.026316
1778159307.1155486,39,0.9995,0,32.4574,0.8069,55.8658,14.046894,0.0061,-19.90,0.034064,0.025641
1778159307.1331575,40,0.9994,0,32.5327,0.7820,56.0453,14.217474,0.0061,-17.33,0.034064,0.025000
1778159307.1499689,41,0.9991,0,32.5189,0.7549,56.2084,14.520053,0.0053,-13.72,0.034064,0.024390
1778159307.1667833,42,0.9987,0,32.3993,0.7251,56.3502,14.996537,0.0052,-7.29,0.034064,0.023810
1778159307.183629,43,0.9987,0,32.1759,0.6929,56.4655,15.708393,0.0052,1.60,0.034064,0.023256
1778159307.2003431,44,0.9988,0,31.6461,0.6513,56.5386,16.880393,0.0052,11.64,0.034064,0.022727
1778159307.2171133,45,0.9981,0,30.9621,0.6059,56.5637,18.283557,0.0053,24.68,0.034064,0.022222
1778159307.2339957,46,0.9959,0,30.7205,0.5771,56.5688,18.888760,0.0052,38.53,0.034064,0.021739
1778159307.2517307,47,0.9919,0,30.4286,0.5478,56.5533,19.450362,0.0061,47.73,0.034064,0.021277
1778159307.2696674,48,0.9873,0,30.5952,0.5349,56.5434,19.275149,0.0062,51.58,0.034064,0.020833
1778159307.2874413,49,0.9837,0,30.9014,0.5273,56.5453,18.818401,0.0062,53.01,0.034064,0.020408
1778159307.3052936,50,0.9828,0,30.8370,0.5075,56.5375,18.918838,0.0062,52.62,0.034064,0.020000
1778159307.3232985,51,0.9846,0,30.9881,0.4955,56.5301,18.665620,0.0063,54.01,0.034064,0.019608
1778159307.341513,52,0.9873,0,31.1213,0.4833,56.5218,18.467086,0.0062,58.74,0.034064,0.019231
1778159307.3589425,53,0.9897,0,31.3814,0.4758,56.5193,18.062908,0.0064,61.83,0.034064,0.018868
1778159307.3779652,54,0.9912,0,31.5053,0.4639,56.5155,17.782429,0.0064,60.42,0.034064,0.018519
1778159307.3966904,55,0.9918,0,31.5251,0.4489,56.5057,17.609181,0.0065,52.88,0.034064,0.018182
1778159307.4148564,56,0.9929,0,31.4044,0.4296,56.4827,17.580539,0.0054,42.52,0.034064,0.017857
1778159307.432523,57,0.9949,0,31.2225,0.4089,56.4436,17.612830,0.0054,31.95,0.034064,0.017544
1778159307.4496489,58,0.9970,0,31.6414,0.4093,56.4195,16.927928,0.0054,22.87,0.034064,0.017241
1778159307.465962,59,0.9985,0,31.6899,0.3970,56.3912,16.692158,0.0054,16.17,0.034064,0.016949
1778159307.483202,60,0.9988,0,31.8687,0.3896,56.3661,16.330684,0.0054,10.03,0.034064,0.016667
1778159307.5003018,61,0.9980,0,32.1581,0.3862,56.3499,15.810116,0.0054,3.72,0.034064,0.016393
1778159307.5177348,62,0.9968,0,31.9265,0.3652,56.3165,15.973405,0.0054,-2.48,0.034064,0.016129
1778159307.5356205,63,0.9959,0,32.1179,0.3593,56.2876,15.633585,0.0053,-6.41,0.034064,0.015873
1778159307.5533853,64,0.9954,0,32.0897,0.3462,56.2520,15.624289,0.0053,-8.46,0.034064,0.015625
1778159307.5708818,65,0.9957,0,31.8596,0.3266,56.2000,15.955355,0.0052,-6.56,0.034064,0.015385
1778159307.5883784,66,0.9967,0,31.3523,0.2983,56.1185,16.739233,0.0052,-0.96,0.034064,0.015152
1778159307.6052644,67,0.9979,0,30.8765,0.2720,56.0105,17.423182,0.0053,5.91,0.034064,0.014925
1778159307.6221156,68,0.9988,0,30.3823,0.2459,55.8764,18.121765,0.0053,15.49,0.034064,0.014706
1778159307.6390932,69,0.9986,0,30.0509,0.2263,55.7256,18.587011,0.0053,28.19,0.034064,0.014493
1778159307.6560202,70,0.9973,0,30.1431,0.2217,55.5797,18.458070,0.0053,42.11,0.034064,0.014286
1778159307.6731353,71,0.9955,0,30.3192,0.2202,55.4426,18.217892,0.0054,55.59,0.034064,0.014085
1778159307.6911623,72,0.9937,0,30.4131,0.2159,55.3101,18.033619,0.0062,63.86,0.034064,0.013889
1778159307.7091808,73,0.9924,0,30.7819,0.2211,55.1947,17.371668,0.0062,62.87,0.034064,0.013699
1778159307.7261267,74,0.9918,0,31.1099,0.2247,55.0936,16.635504,0.0061,51.31,0.034064,0.013514
1778159307.7429383,75,0.9917,0,31.3544,0.2254,55.0021,15.915602,0.0061,33.20,0.034064,0.013333
1778159307.7605116,76,0.9918,0,31.7820,0.2322,54.9282,14.851389,0.0061,13.43,0.034064,0.013158
1778159307.7782547,77,0.9917,0,31.9661,0.2306,54.8601,14.196245,0.0061,-3.68,0.034064,0.012987
1778159307.795259,78,0.9907,0,32.1262,0.2282,54.7966,13.732589,0.0062,-14.60,0.034064,0.012821
1778159307.814012,79,0.9884,0,32.2998,0.2263,54.7387,13.384093,0.0061,-19.84,0.034064,0.012658
1778159307.8317418,80,0.9853,0,32.3595,0.2207,54.6811,13.266127,0.0061,-21.58,0.034064,0.012500
1778159307.8495662,81,0.9825,0,32.3810,0.2141,54.6221,13.231873,0.0062,-22.08,0.034064,0.012346
1778159307.8664598,82,0.9803,0,32.2672,0.2031,54.5555,13.346435,0.0061,-22.04,0.034064,0.012195
1778159307.8832755,83,0.9792,0,32.1433,0.1922,54.4811,13.435720,0.0061,-22.12,0.034064,0.012048
1778159307.8992496,84,0.9786,0,32.1271,0.1853,54.4038,13.368032,0.0053,-22.20,0.034064,0.011905
1778159307.9151592,85,0.9781,0,32.1530,0.1800,54.3256,13.265635,0.0052,-22.22,0.034064,0.011765
1778159307.9320536,86,0.9781,0,31.9518,0.1673,54.2365,13.451265,0.0053,-22.18,0.034064,0.011628
1778159307.9496298,87,0.9797,0,31.4107,0.1436,54.1215,14.074575,0.0061,-22.23,0.034064,0.011494
1778159307.9668844,88,0.9836,0,31.1552,0.1303,53.9908,14.184272,0.0061,-22.35,0.034064,0.011486
1778159307.983692,89,0.9887,0,31.0423,0.1221,53.8509,14.050688,0.0061,-23.11,0.034064,0.011486
1778159308.0022752,90,0.9938,0,31.2720,0.1257,53.7174,13.518130,0.0061,-25.02,0.034064,0.011486
1778159308.0193417,91,0.9977,0,31.7333,0.1371,53.6010,12.666703,0.0054,-24.26,0.034064,0.011486
1778159308.036156,92,0.9994,0,31.9730,0.1406,53.4917,12.251848,0.0053,-21.27,0.034064,0.011486
1778159308.0531774,93,0.9996,0,31.9491,0.1350,53.3778,12.213638,0.0053,-19.26,0.034064,0.011486
1778159308.0702398,94,0.9992,0,31.7817,0.1247,53.2533,12.358945,0.0054,-15.94,0.034064,0.011486
1778159308.0871701,95,0.9986,0,31.7576,0.1196,53.1250,12.290631,0.0053,-14.79,0.034064,0.011486
1778159308.1041021,96,0.9981,0,31.6127,0.1107,52.9878,12.333716,0.0054,-15.37,0.034064,0.011486
