time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1778159644.0360203,1,0.9996,1,0.0000,0.0000,0.0000,0.000000,0.0000,-23.04,1.000000,1.000000
1778159644.0422585,2,0.9996,1,0.0000,0.0000,0.0000,0.000000,0.0000,-23.04,0.500000,0.500000
1778159644.048868,3,0.9996,1,0.0000,0.0000,0.0000,0.000000,0.0000,-23.04,0.333333,0.333333
1778159644.055344,4,0.9996,1,0.0000,0.0000,0.0000,0.000000,0.0000,-23.04,0.250000,0.250000
1778159644.0617385,5,0.9996,1,0.0000,0.0000,0.0000,0.000000,0.0000,-23.03,0.200000,0.200000
1778159644.0736594,6,0.9996,0,-2.0019,-0.3335,-0.6115,0.168628,0.0055,-23.11,0.166667,0.166667
1778159644.0913723,7,0.9996,0,-2.0698,-0.2956,-1.0920,0.122984,0.0055,-23.15,0.142857,0.159104
1778159644.108389,8,0.9996,0,-2.1211,-0.2651,-1.4786,0.094952,0.0054,-23.17,0.125000,0.159104
1778159644.1262815,9,0.9997,0,-2.1246,-0.2360,-1.7798,0.075146,0.0058,-23.51,0.111111,0.159104
1778159644.1427023,10,0.9997,0,-2.1207,-0.2120,-2.0123,0.062135,0.0045,-24.30,0.100000,0.159104
1778159644.1591167,11,0.9997,0,-2.2146,-0.2013,-2.2138,0.055207,0.0045,-25.59,0.090909,0.159104
1778159644.175194,12,0.9998,0,-2.2618,-0.1885,-2.3799,0.049717,0.0045,-27.05,0.083333,0.159104
1778159644.1908665,13,0.9998,0,-2.3851,-0.1834,-2.5350,0.044592,0.0047,-28.82,0.076923,0.159104
1778159644.2064962,14,0.9998,0,-2.5109,-0.1793,-2.6819,0.037145,0.0045,-30.52,0.071429,0.159104
1778159644.2217996,15,0.9998,0,-2.5955,-0.1730,-2.8137,0.031179,0.0044,-31.79,0.066667,0.159104
1778159644.23683,16,0.9997,0,-2.6949,-0.1684,-2.9364,0.024268,0.0044,-32.73,0.062500,0.159104
1778159644.2517068,17,0.9997,0,-2.7291,-0.1605,-3.0384,0.024215,0.0044,-32.71,0.058824,0.159104
1778159644.2667062,18,0.9998,0,-2.4503,-0.1361,-3.0594,0.070071,0.0044,-31.03,0.055556,0.159104
1778159644.2815928,19,0.9998,0,-2.2973,-0.1209,-3.0398,0.078155,0.0044,-28.40,0.052632,0.159104
1778159644.2973228,20,0.9997,0,-2.0769,-0.1038,-2.9740,0.084370,0.0043,-25.95,0.050000,0.159104
1778159644.3142478,21,0.9994,0,-1.9199,-0.0914,-2.8833,0.074189,0.0054,-24.15,0.047619,0.159104
1778159644.3309102,22,0.9989,0,-2.0740,-0.0943,-2.8339,0.047623,0.0052,-23.96,0.045455,0.159104
1778159644.3476872,23,0.9984,0,-2.0533,-0.0893,-2.7850,0.039100,0.0053,-24.80,0.043478,0.159104
1778159644.3645432,24,0.9980,0,-2.1095,-0.0879,-2.7517,0.027362,0.0052,-25.62,0.041667,0.159104
1778159644.3812475,25,0.9978,0,-2.1070,-0.0843,-2.7203,0.023799,0.0052,-25.98,0.040000,0.159104
1778159644.3978643,26,0.9977,0,-2.1338,-0.0821,-2.6963,0.022584,0.0052,-25.84,0.038462,0.159104
1778159644.4144738,27,0.9978,0,-2.3078,-0.0855,-2.7065,0.030931,0.0053,-26.17,0.037037,0.159104
1778159644.4312706,28,0.9982,0,-2.4776,-0.0885,-2.7446,0.045828,0.0053,-25.35,0.035714,0.159104
1778159644.4471831,29,0.9988,0,-2.7592,-0.0951,-2.8269,0.080291,0.0044,-23.34,0.034483,0.159104
1778159644.4630716,30,0.9993,0,-2.9709,-0.0990,-2.9331,0.103076,0.0044,-19.68,0.033333,0.159104
1778159644.4788628,31,0.9994,0,-3.0284,-0.0977,-3.0304,0.130175,0.0044,-13.45,0.032258,0.159104
1778159644.494712,32,0.9990,0,-3.0216,-0.0944,-3.1084,0.138621,0.0044,-8.99,0.031250,0.159104
1778159644.511495,33,0.9981,0,-2.8881,-0.0875,-3.1471,0.122756,0.0052,-6.74,0.030303,0.159104
1778159644.5279448,34,0.9973,0,-2.7925,-0.0822,-3.1600,0.103654,0.0052,-7.37,0.029412,0.159104
1778159644.544942,35,0.9967,0,-2.6854,-0.0768,-3.1493,0.079898,0.0053,-10.60,0.028571,0.159104
1778159644.5617795,36,0.9968,0,-2.5737,-0.0716,-3.1182,0.071517,0.0053,-13.38,0.027778,0.159104
1778159644.5783994,37,0.9974,0,-2.4516,-0.0663,-3.0683,0.062161,0.0052,-15.84,0.027027,0.159104
1778159644.5950208,38,0.9983,0,-2.3992,-0.0632,-3.0152,0.055518,0.0052,-17.81,0.026316,0.159104
1778159644.6121974,39,0.9989,0,-2.3022,-0.0591,-2.9516,0.051442,0.0052,-19.36,0.025641,0.159104
1778159644.62702,40,0.9987,0,-2.2776,-0.0570,-2.8924,0.040698,0.0044,-21.53,0.025000,0.159104
1778159644.6427648,41,0.9975,0,-2.3271,-0.0568,-2.8505,0.034951,0.0044,-24.30,0.024390,0.159104
1778159644.658392,42,0.9958,0,-2.2161,-0.0529,-2.7945,0.026906,0.0044,-25.67,0.023810,0.159104
1778159644.6744163,43,0.9941,0,-2.1789,-0.0508,-2.7399,0.021042,0.0048,-26.31,0.023256,0.159104
1778159644.6917484,44,0.9927,0,-2.1486,-0.0489,-2.6877,0.017278,0.0060,-27.59,0.022727,0.159104
1778159644.7085338,45,0.9920,0,-2.0670,-0.0461,-2.6286,0.013175,0.0053,-27.32,0.022222,0.159104
1778159644.7253556,46,0.9918,0,-2.0568,-0.0449,-2.5761,0.013927,0.0053,-26.81,0.021739,0.159104
1778159644.7419949,47,0.9918,0,-2.0484,-0.0437,-2.5297,0.014881,0.0053,-26.61,0.021277,0.159104
1778159644.7586207,48,0.9919,0,-1.9820,-0.0415,-2.4782,0.019941,0.0054,-25.17,0.020833,0.159104
1778159644.7749708,49,0.9919,0,-1.9357,-0.0397,-2.4260,0.020425,0.0052,-24.41,0.020408,0.159104
1778159644.7912729,50,0.9919,0,-1.8592,-0.0374,-2.3680,0.021747,0.0051,-22.34,0.020000,0.159104
1778159644.8076766,51,0.9922,0,-1.7807,-0.0351,-2.3049,0.020793,0.0051,-20.96,0.019608,0.159104
1778159644.8242683,52,0.9927,0,-1.7160,-0.0332,-2.2398,0.020282,0.0052,-21.14,0.019231,0.159104
1778159644.840783,53,0.9938,0,-1.6103,-0.0306,-2.1661,0.023856,0.0052,-21.53,0.018868,0.159104
1778159644.8573844,54,0.9952,0,-1.6910,-0.0315,-2.1174,0.026661,0.0052,-24.44,0.018519,0.159104
1778159644.8749163,55,0.9968,0,-1.7081,-0.0313,-2.0788,0.029889,0.0060,-26.78,0.018182,0.159104
1778159644.8906953,56,0.9982,0,-1.8389,-0.0330,-2.0685,0.032025,0.0044,-27.23,0.017857,0.159104
1778159644.906446,57,0.9991,0,-2.0936,-0.0369,-2.1035,0.034127,0.0044,-27.23,0.017544,0.159104
1778159644.922152,58,0.9992,0,-2.2419,-0.0389,-2.1582,0.039384,0.0043,-27.84,0.017241,0.159104
1778159644.939273,59,0.9987,0,-2.5102,-0.0427,-2.2501,0.033705,0.0056,-29.18,0.016949,0.159104
1778159644.9560874,60,0.9980,0,-2.6973,-0.0451,-2.3591,0.028345,0.0052,-30.37,0.016667,0.159104
1778159644.9729426,61,0.9978,0,-2.7868,-0.0459,-2.4655,0.023245,0.0052,-32.51,0.016393,0.159104
1778159644.9895048,62,0.9981,0,-2.8251,-0.0457,-2.5611,0.022581,0.0052,-34.38,0.016129,0.159104
1778159645.0059996,63,0.9988,0,-2.7862,-0.0444,-2.6342,0.022517,0.0051,-36.02,0.015873,0.159104
1778159645.02169,64,0.9993,0,-2.3575,-0.0370,-2.6214,0.079826,0.0043,-36.82,0.015625,0.159104
1778159645.0378606,65,0.9992,0,-2.0685,-0.0320,-2.5604,0.085704,0.0046,-36.11,0.015385,0.159104
1778159645.0542238,66,0.9984,0,-1.7349,-0.0265,-2.4515,0.092829,0.0045,-35.16,0.015152,0.159104
1778159645.0708952,67,0.9968,0,-1.5593,-0.0235,-2.3298,0.072618,0.0047,-34.95,0.014925,0.159104
1778159645.086624,68,0.9951,0,-1.8174,-0.0269,-2.2713,0.049322,0.0047,-35.89,0.014706,0.159104
1778159645.1045604,69,0.9939,0,-1.8791,-0.0274,-2.2323,0.038001,0.0056,-34.65,0.014493,0.159104
1778159645.12212,70,0.9933,0,-1.9520,-0.0280,-2.2116,0.014402,0.0055,-29.97,0.014286,0.159104
1778159645.1398258,71,0.9936,0,-1.8911,-0.0268,-2.1835,0.016123,0.0056,-24.83,0.014085,0.159104
1778159645.1573553,72,0.9945,0,-1.7760,-0.0248,-2.1400,0.019070,0.0054,-20.39,0.013889,0.159104
1778159645.1749263,73,0.9958,0,-1.7063,-0.0236,-2.0911,0.021285,0.0056,-18.14,0.013699,0.159104
1778159645.192275,74,0.9970,0,-1.7475,-0.0238,-2.0566,0.019575,0.0055,-19.88,0.013514,0.159104
1778159645.2099564,75,0.9981,0,-1.8198,-0.0244,-2.0395,0.018223,0.0056,-21.49,0.013333,0.159104
1778159645.2264884,76,0.9990,0,-1.9055,-0.0252,-2.0395,0.016641,0.0045,-22.33,0.013158,0.159104
1778159645.2424514,77,0.9995,0,-1.9851,-0.0259,-2.0526,0.013904,0.0044,-23.68,0.012987,0.159104
1778159645.259018,78,0.9998,0,-1.9986,-0.0258,-2.0657,0.015901,0.0045,-24.15,0.012821,0.159104
1778159645.2751539,79,0.9999,0,-2.0068,-0.0256,-2.0778,0.020907,0.0045,-23.98,0.012658,0.159104
1778159645.2912858,80,0.9999,0,-2.0443,-0.0257,-2.0941,0.028059,0.0044,-23.69,0.012500,0.159104
1778159645.3069048,81,0.9999,0,-2.0947,-0.0260,-2.1161,0.037845,0.0043,-22.88,0.012346,0.159104
1778159645.322657,82,0.9998,0,-2.2023,-0.0270,-2.1525,0.051377,0.0044,-21.24,0.012195,0.159104
1778159645.3383396,83,0.9998,0,-2.2725,-0.0275,-2.1948,0.063294,0.0044,-19.32,0.012048,0.159104
1778159645.3540704,84,0.9998,0,-2.3488,-0.0281,-2.2429,0.086334,0.0045,-16.23,0.011905,0.159104
1778159645.3696907,85,0.9997,0,-2.4800,-0.0293,-2.3053,0.116615,0.0044,-12.27,0.011765,0.159104
1778159645.3852654,86,0.9997,0,-2.5343,-0.0296,-2.3666,0.137491,0.0043,-9.29,0.011628,0.159104
1778159645.4006374,87,0.9996,0,-2.5850,-0.0299,-2.4264,0.151880,0.0043,-7.19,0.011494,0.159104
1778159645.4159727,88,0.9994,0,-2.5405,-0.0290,-2.4690,0.150833,0.0043,-7.39,0.011486,0.159104
1778159645.4311495,89,0.9992,0,-2.3204,-0.0261,-2.4673,0.133977,0.0042,-11.18,0.011486,0.159104
