time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1778159770.8914366,1,0.0330,1,0.0000,0.0000,0.0000,0.000000,0.0000,28.59,4.55,0.67,1.000000,1.000000
1778159770.8975334,2,0.0330,1,0.0000,0.0000,0.0000,0.000000,0.0000,28.59,4.55,0.67,0.500000,0.500000
1778159770.9040523,3,0.0329,1,0.0000,0.0000,0.0000,0.000000,0.0000,28.59,4.55,0.67,0.333333,0.333333
1778159770.9100165,4,0.0329,1,0.0000,0.0000,0.0000,0.000000,0.0000,28.59,4.55,0.67,0.250000,0.250000
1778159770.915746,5,0.0329,1,0.0000,0.0000,0.0000,0.000000,0.0000,28.59,4.55,0.67,0.200000,0.200000
1778159770.9319568,6,0.0329,1,0.0000,0.0000,0.0000,0.463670,0.0052,28.59,4.53,0.68,0.166667,0.166667
1778159770.9481194,7,0.0329,1,0.0000,0.0000,0.0000,0.461663,0.0051,28.59,4.60,0.64,0.142857,0.142857
1778159770.964389,8,0.0328,1,0.0000,0.0000,0.0000,0.450436,0.0052,28.55,5.08,0.34,0.125000,0.125000
1778159770.9807703,9,0.0327,1,0.0000,0.0000,0.0000,0.425910,0.0053,28.25,6.11,-0.25,0.111111,0.111111
1778159770.9969318,10,0.0326,1,0.0000,0.0000,0.0000,0.379624,0.0052,27.43,8.09,-1.29,0.100000,0.100000
1778159771.0123334,11,0.0329,1,0.0000,0.0000,0.0000,0.318697,0.0052,26.07,10.86,-2.57,0.090909,0.090909
1778159771.0269399,12,0.0348,1,0.0000,0.0000,0.0000,0.256094,0.0043,24.36,13.59,-3.69,0.083333,0.083333
1778159771.0414407,13,0.0401,1,0.0000,0.0000,0.0000,0.200130,0.0044,22.04,15.80,-4.27,0.076923,0.076923
1778159771.0558357,14,0.0519,1,0.0000,0.0000,0.0000,0.157000,0.0043,19.83,17.02,-4.32,0.071429,0.071429
1778159771.0702887,15,0.0715,1,0.0000,0.0000,0.0000,0.122623,0.0043,18.00,17.18,-4.02,0.066667,0.066667
1778159771.08474,16,0.0952,1,0.0000,0.0000,0.0000,0.095641,0.0044,16.43,16.47,-3.50,0.062500,0.062500
1778159771.0991347,17,0.1199,0,-0.3952,-0.0028,-0.0056,0.079719,0.0043,15.31,14.73,-2.89,0.058824,0.058824
1778159771.1140966,18,0.1423,0,-0.5225,-0.0038,-0.0134,0.090236,0.0042,14.44,10.57,-1.63,0.055556,0.055556
1778159771.12906,19,0.1598,0,-0.7071,-0.0053,-0.0245,0.138088,0.0050,13.74,4.44,0.22,0.052632,0.052632
1778159771.1440973,20,0.1727,0,-0.9355,-0.0072,-0.0395,0.221540,0.0050,13.26,-3.10,2.50,0.050000,0.050000
1778159771.1600096,21,0.1818,0,-1.1722,-0.0092,-0.0584,0.327808,0.0051,13.33,-10.77,4.78,0.047619,0.047619
1778159771.1759777,22,0.1883,0,-1.3679,-0.0108,-0.0803,0.434361,0.0052,13.64,-17.18,6.73,0.045455,0.045455
1778159771.1921384,23,0.1928,0,-1.5026,-0.0118,-0.1040,0.520625,0.0052,14.01,-21.92,8.21,0.043478,0.043478
1778159771.2083895,24,0.1959,0,-1.5827,-0.0124,-0.1284,0.572506,0.0052,14.29,-24.76,9.12,0.041667,0.041667
1778159771.2243507,25,0.1977,0,-1.6226,-0.0126,-0.1527,0.588754,0.0050,14.30,-26.01,9.45,0.040000,0.040000
1778159771.2402315,26,0.1990,0,-1.6202,-0.0125,-0.1763,0.559896,0.0050,13.08,-25.85,8.81,0.038462,0.038462
1778159771.2561643,27,0.2001,0,-1.5539,-0.0119,-0.1984,0.480161,0.0052,10.07,-23.96,7.12,0.037037,0.037037
1778159771.272099,28,0.2008,0,-1.3906,-0.0107,-0.2175,0.360341,0.0052,6.61,-19.38,5.05,0.035714,0.035714
1778159771.2880285,29,0.2018,0,-1.1137,-0.0087,-0.2323,0.224733,0.0051,3.59,-11.81,2.81,0.034483,0.034483
1778159771.3031454,30,0.2044,0,-0.7882,-0.0064,-0.2425,0.110240,0.0051,3.48,-2.41,0.58,0.033333,0.033333
1778159771.3180912,31,0.2102,0,-0.4502,-0.0040,-0.2479,0.039829,0.0050,7.22,7.65,-1.91,0.032258,0.032258
1778159771.3338985,32,0.2204,0,-0.1441,-0.0019,-0.2491,0.017657,0.0050,11.86,16.07,-4.55,0.031250,0.031250
1778159771.3496745,33,0.2333,0,0.0782,-0.0003,-0.2471,0.023415,0.0051,16.32,21.71,-7.10,0.030303,0.030303
1778159771.3655899,34,0.2469,0,0.2498,0.0009,-0.2425,0.035632,0.0051,19.06,25.10,-9.09,0.029412,0.029412
1778159771.381495,35,0.2601,0,0.3555,0.0017,-0.2364,0.044506,0.0050,19.94,26.04,-9.86,0.028571,0.028571
1778159771.3977456,36,0.2710,0,0.3668,0.0018,-0.2301,0.043095,0.0052,20.83,24.79,-9.79,0.027778,0.027778
1778159771.414152,37,0.2795,0,0.2806,0.0011,-0.2251,0.034023,0.0052,21.76,21.64,-8.88,0.027027,0.027027
1778159771.430432,38,0.2851,0,0.0785,-0.0004,-0.2233,0.023752,0.0052,22.44,16.57,-6.98,0.026316,0.026316
1778159771.445738,39,0.2873,0,-0.2790,-0.0030,-0.2267,0.031858,0.0043,22.62,9.24,-3.81,0.025641,0.025641
1778159771.4614024,40,0.2873,0,-0.7075,-0.0061,-0.2362,0.067574,0.0053,21.57,0.70,-0.07,0.025000,0.025000
1778159771.4769275,41,0.2857,0,-1.1291,-0.0090,-0.2514,0.125996,0.0052,18.92,-8.03,3.11,0.024390,0.024390
1778159771.492979,42,0.2835,0,-1.4870,-0.0114,-0.2710,0.195257,0.0052,15.50,-15.99,5.25,0.023810,0.023810
1778159771.509506,43,0.2816,0,-1.6796,-0.0125,-0.2927,0.248988,0.0053,11.09,-21.61,5.54,0.023256,0.023256
1778159771.5261104,44,0.2798,0,-1.7316,-0.0128,-0.3145,0.269478,0.0055,5.42,-25.18,4.01,0.022727,0.022727
1778159771.5432253,45,0.2790,0,-1.6928,-0.0125,-0.3355,0.255559,0.0054,0.23,-26.69,1.93,0.022222,0.022222
1778159771.5604248,46,0.2791,0,-1.6099,-0.0119,-0.3550,0.220021,0.0053,-4.04,-26.63,-0.03,0.021739,0.021739
1778159771.577923,47,0.2795,0,-1.5366,-0.0114,-0.3734,0.185686,0.0055,-7.05,-26.09,-1.47,0.021277,0.021277
1778159771.597513,48,0.2802,0,-1.5023,-0.0111,-0.3910,0.164670,0.0055,-7.88,-25.44,-1.88,0.020833,0.020833
1778159771.6157086,49,0.2807,0,-1.5468,-0.0113,-0.4089,0.173604,0.0057,-6.25,-25.51,-1.10,0.020408,0.020408
1778159771.6335058,50,0.2810,0,-1.6756,-0.0120,-0.4279,0.214579,0.0055,-0.63,-25.74,1.53,0.020000,0.020000
1778159771.650987,51,0.2810,0,-1.8187,-0.0127,-0.4482,0.258546,0.0054,6.70,-25.48,4.82,0.019608,0.019608
1778159771.667913,52,0.2808,0,-1.9229,-0.0132,-0.4692,0.282912,0.0052,13.76,-24.39,7.66,0.019231,0.019231
