time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1778241561.2745671,1,0.9996,0,18.2801,18.2725,18.2801,9.187141,0.0051,-7.92,1.000000,1.000000
1778241561.2898095,2,0.9995,0,22.7496,11.3745,26.2039,1.074449,0.0050,-11.18,0.500000,0.500000
1778241561.3052144,3,0.9994,0,24.6792,8.2279,31.1828,0.579233,0.0050,-13.85,0.333333,0.333333
1778241561.3205125,4,0.9994,0,25.7935,6.4506,34.6751,1.291907,0.0051,-13.26,0.250000,0.250000
1778241561.3357718,5,0.9995,0,26.5981,5.3220,37.3188,2.308667,0.0050,-10.14,0.200000,0.200000
1778241561.350897,6,0.9995,0,26.9154,4.4883,39.3263,3.475256,0.0050,-9.49,0.166667,0.166667
1778241561.3660402,7,0.9995,0,27.3348,3.9073,40.9635,4.376298,0.0050,-9.78,0.142857,0.142857
1778241561.3809836,8,0.9994,0,27.7537,3.4715,42.3511,5.096324,0.0050,-12.86,0.125000,0.125000
1778241561.3960648,9,0.9993,0,28.4056,3.1584,43.6104,5.599200,0.0050,-16.03,0.111111,0.111111
1778241561.4112558,10,0.9993,0,28.9087,2.8931,44.7453,6.155938,0.0050,-14.81,0.100000,0.100000
1778241561.426177,11,0.9993,0,29.2160,2.6582,45.7512,6.831114,0.0050,-13.54,0.090909,0.090909
1778241561.4412117,12,0.9992,0,29.5543,2.4650,46.6623,7.396559,0.0050,-11.28,0.083333,0.083333
1778241561.4562442,13,0.9991,0,29.5344,2.2740,47.4453,8.130556,0.0049,-10.02,0.076923,0.076923
1778241561.4711783,14,0.9991,0,29.9069,2.1383,48.1795,8.427383,0.0049,-10.21,0.071429,0.071429
1778241561.4868658,15,0.9992,0,30.2987,2.0220,48.8757,8.723146,0.0050,-7.82,0.066667,0.066667
1778241561.5018914,16,0.9994,0,30.3991,1.9020,49.5048,9.319107,0.0050,-5.88,0.062500,0.062500
1778241561.5169334,17,0.9993,0,30.5031,1.7963,50.0785,9.910871,0.0050,-2.59,0.058824,0.058824
1778241561.5319505,18,0.9987,0,30.4772,1.6952,50.5921,10.611935,0.0049,1.02,0.055556,0.055556
1778241561.5470185,19,0.9979,0,30.4874,1.6067,51.0585,11.171911,0.0050,2.65,0.052632,0.052632
1778241561.5627606,20,0.9975,0,30.8102,1.5427,51.5143,11.326005,0.0050,3.59,0.050000,0.050000
1778241561.5786667,21,0.9978,0,31.0715,1.4818,51.9543,11.460307,0.0050,1.83,0.047619,0.047619
1778241561.5945423,22,0.9984,0,31.4925,1.4336,52.3943,11.358164,0.0050,0.38,0.045455,0.045455
1778241561.6105459,23,0.9990,0,31.5848,1.3754,52.8060,11.667356,0.0051,-2.33,0.043478,0.043478
1778241561.626502,24,0.9994,0,31.2918,1.3059,53.1617,12.468536,0.0050,-4.89,0.041667,0.041667
1778241561.6422858,25,0.9994,0,30.7456,1.2319,53.4482,13.728713,0.0049,-1.26,0.040000,0.040000
1778241561.6580617,26,0.9995,0,30.0723,1.1586,53.6636,15.011972,0.0050,5.31,0.038462,0.038462
1778241561.6739051,27,0.9998,0,29.5272,1.0955,53.8248,16.032142,0.0050,13.48,0.037037,0.037037
1778241561.6896124,28,1.0000,0,29.1030,1.0413,53.9460,16.842030,0.0050,24.15,0.035714,0.035714
1778241561.7047677,29,1.0000,0,28.9810,1.0011,54.0518,17.160342,0.0050,30.43,0.034483,0.034483
1778241561.719989,30,1.0000,0,28.9515,0.9668,54.1497,17.341918,0.0050,31.38,0.033333,0.033333
1778241561.7351582,31,1.0000,0,29.2594,0.9455,54.2618,17.177389,0.0050,33.86,0.032258,0.032258
1778241561.7502165,32,1.0000,0,29.8715,0.9351,54.4055,16.678224,0.0050,36.43,0.031250,0.031250
1778241561.7660391,33,1.0000,0,30.6325,0.9298,54.5868,15.874234,0.0050,33.52,0.030303,0.030303
1778241561.7819984,34,1.0000,0,31.4282,0.9259,54.8044,14.908096,0.0051,27.03,0.029412,0.029412
1778241561.7981744,35,0.9999,0,31.9486,0.9143,55.0396,14.256151,0.0051,16.32,0.028571,0.028571
1778241561.814317,36,0.9998,0,32.2171,0.8964,55.2772,13.903256,0.0051,0.35,0.027778,0.027778
1778241561.8310933,37,0.9997,0,32.3561,0.8759,55.5101,13.809142,0.0059,-11.33,0.027027,0.027027
1778241561.8477511,38,0.9996,0,32.4274,0.8547,55.7352,13.912381,0.0058,-17.63,0.026316,0.026316
1778241561.864523,39,0.9995,0,32.4722,0.8340,55.9516,14.101422,0.0058,-19.90,0.025641,0.025641
1778241561.8812711,40,0.9994,0,32.5537,0.8152,56.1618,14.295187,0.0058,-17.33,0.025000,0.025000
1778241561.897071,41,0.9991,0,32.5473,0.7952,56.3621,14.626584,0.0050,-13.72,0.024390,0.024390
1778241561.9129047,42,0.9987,0,32.4368,0.7736,56.5484,15.138810,0.0050,-7.29,0.023810,0.023810
1778241561.928896,43,0.9987,0,32.2240,0.7507,56.7168,15.894876,0.0051,1.60,0.023256,0.023256
1778241561.9449694,44,0.9988,0,31.7070,0.7219,56.8546,17.123239,0.0051,11.64,0.022727,0.022727
1778241561.9608932,45,0.9981,0,31.0386,0.6911,56.9578,18.598559,0.0051,24.68,0.022222,0.022222
1778241561.9767184,46,0.9959,0,30.8160,0.6713,57.0486,19.286067,0.0050,38.54,0.021739,0.021739
1778241561.993192,47,0.9919,0,30.5453,0.6514,57.1270,19.940198,0.0058,47.74,0.021277,0.021277
1778241562.0097482,48,0.9873,0,30.7354,0.6420,57.2129,19.857515,0.0058,51.60,0.020833,0.020833
1778241562.0280385,49,0.9837,0,31.0660,0.6357,57.3110,19.490847,0.0058,53.04,0.020408,0.020408
1778241562.0447903,50,0.9828,0,31.0255,0.6224,57.4045,19.690862,0.0059,52.65,0.020000,0.020000
1778241562.0617101,51,0.9846,0,31.2011,0.6138,57.5005,19.535775,0.0059,54.04,0.019608,0.019608
1778241562.0784895,52,0.9873,0,31.3594,0.6051,57.5978,19.437165,0.0058,58.78,0.019231,0.019231
1778241562.0943253,53,0.9897,0,31.6450,0.5992,57.7012,19.129018,0.0058,61.87,0.018868,0.018868
1778241562.1108687,54,0.9912,0,31.7945,0.5909,57.8057,18.949510,0.0058,60.46,0.018519,0.018519
1778241562.1274576,55,0.9918,0,31.8401,0.5811,57.9081,18.884074,0.0057,52.92,0.018182,0.018182
1778241562.144205,56,0.9929,0,31.7456,0.5691,58.0032,18.974672,0.0058,42.56,0.017857,0.017857
1778241562.1601233,57,0.9949,0,31.5911,0.5565,58.0890,19.136483,0.0050,31.97,0.017544,0.017544
1778241562.1762216,58,0.9970,0,32.0394,0.5546,58.1863,18.550523,0.0050,22.88,0.017241,0.017241
1778241562.1913924,59,0.9985,0,32.1174,0.5465,58.2824,18.432658,0.0050,16.16,0.016949,0.016949
1778241562.2073793,60,0.9988,0,32.3273,0.5409,58.3823,18.181931,0.0050,9.99,0.016667,0.016667
1778241562.223517,61,0.9980,0,32.6485,0.5373,58.4898,17.762785,0.0050,3.67,0.016393,0.016393
