time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1778247451.5006797,1,0.9996,1,0.0000,0.0000,0.0000,0.000000,0.0000,-23.04,1.000000,1.000000
1778247451.5065267,2,0.9996,1,0.0000,0.0000,0.0000,0.000000,0.0000,-23.04,0.500000,0.500000
1778247451.5123103,3,0.9996,1,0.0000,0.0000,0.0000,0.000000,0.0000,-23.04,0.333333,0.333333
1778247451.5181813,4,0.9996,1,0.0000,0.0000,0.0000,0.000000,0.0000,-23.04,0.250000,0.250000
1778247451.5239658,5,0.9996,1,0.0000,0.0000,0.0000,0.000000,0.0000,-23.03,0.200000,0.200000
1778247451.5348744,6,0.9996,0,-2.0019,-0.3335,-0.6115,0.168628,0.0050,-23.11,0.166667,0.166667
1778247451.5508797,7,0.9996,0,-2.0698,-0.2956,-1.0920,0.122984,0.0050,-23.15,0.142857,0.159104
1778247451.5669012,8,0.9996,0,-2.1211,-0.2651,-1.4786,0.094952,0.0050,-23.17,0.125000,0.159104
1778247451.5832963,9,0.9997,0,-2.1246,-0.2360,-1.7798,0.075146,0.0054,-23.51,0.111111,0.159104
1778247451.5986428,10,0.9997,0,-2.1207,-0.2120,-2.0123,0.062135,0.0042,-24.30,0.100000,0.159104
1778247451.613885,11,0.9997,0,-2.2146,-0.2013,-2.2138,0.055207,0.0043,-25.59,0.090909,0.159104
1778247451.6291358,12,0.9998,0,-2.2618,-0.1885,-2.3799,0.049717,0.0042,-27.05,0.083333,0.159104
1778247451.6436324,13,0.9998,0,-2.3851,-0.1834,-2.5350,0.044592,0.0043,-28.82,0.076923,0.159104
1778247451.658102,14,0.9998,0,-2.5109,-0.1793,-2.6819,0.037145,0.0042,-30.52,0.071429,0.159104
1778247451.6725533,15,0.9998,0,-2.5955,-0.1730,-2.8137,0.031179,0.0043,-31.79,0.066667,0.159104
1778247451.6870039,16,0.9997,0,-2.6949,-0.1684,-2.9364,0.024268,0.0042,-32.73,0.062500,0.159104
1778247451.7014537,17,0.9997,0,-2.7291,-0.1605,-3.0384,0.024215,0.0043,-32.71,0.058824,0.159104
1778247451.7159202,18,0.9998,0,-2.4503,-0.1361,-3.0594,0.070071,0.0042,-31.03,0.055556,0.159104
1778247451.7303443,19,0.9998,0,-2.2973,-0.1209,-3.0398,0.078155,0.0042,-28.40,0.052632,0.159104
1778247451.7456825,20,0.9997,0,-2.0769,-0.1038,-2.9740,0.084370,0.0043,-25.95,0.050000,0.159104
1778247451.761967,21,0.9994,0,-1.9199,-0.0914,-2.8833,0.074189,0.0050,-24.15,0.047619,0.159104
1778247451.7780561,22,0.9989,0,-2.0740,-0.0943,-2.8339,0.047623,0.0050,-23.96,0.045455,0.159104
1778247451.7942474,23,0.9984,0,-2.0533,-0.0893,-2.7850,0.039100,0.0051,-24.80,0.043478,0.159104
1778247451.810499,24,0.9980,0,-2.1095,-0.0879,-2.7517,0.027362,0.0051,-25.62,0.041667,0.159104
1778247451.8266232,25,0.9978,0,-2.1070,-0.0843,-2.7203,0.023799,0.0050,-25.98,0.040000,0.159104
1778247451.8429608,26,0.9977,0,-2.1338,-0.0821,-2.6963,0.022584,0.0051,-25.84,0.038462,0.159104
1778247451.859173,27,0.9978,0,-2.3078,-0.0855,-2.7065,0.030931,0.0051,-26.17,0.037037,0.159104
1778247451.8754773,28,0.9982,0,-2.4776,-0.0885,-2.7446,0.045828,0.0051,-25.35,0.035714,0.159104
1778247451.8911147,29,0.9988,0,-2.7592,-0.0951,-2.8269,0.080291,0.0044,-23.34,0.034483,0.159104
1778247451.9067566,30,0.9993,0,-2.9709,-0.0990,-2.9331,0.103076,0.0043,-19.68,0.033333,0.159104
1778247451.9227045,31,0.9994,0,-3.0284,-0.0977,-3.0304,0.130175,0.0044,-13.45,0.032258,0.159104
1778247451.9385953,32,0.9990,0,-3.0216,-0.0944,-3.1084,0.138621,0.0044,-8.99,0.031250,0.159104
1778247451.9553764,33,0.9981,0,-2.8881,-0.0875,-3.1471,0.122756,0.0052,-6.74,0.030303,0.159104
1778247451.9721406,34,0.9973,0,-2.7925,-0.0822,-3.1600,0.103654,0.0051,-7.37,0.029412,0.159104
1778247451.9888756,35,0.9967,0,-2.6854,-0.0768,-3.1493,0.079898,0.0052,-10.60,0.028571,0.159104
1778247452.0058117,36,0.9968,0,-2.5737,-0.0716,-3.1182,0.071517,0.0051,-13.38,0.027778,0.159104
1778247452.0219185,37,0.9974,0,-2.4516,-0.0663,-3.0683,0.062161,0.0050,-15.84,0.027027,0.159104
1778247452.0380318,38,0.9983,0,-2.3992,-0.0632,-3.0152,0.055518,0.0050,-17.81,0.026316,0.159104
1778247452.0550802,39,0.9989,0,-2.3022,-0.0591,-2.9516,0.051442,0.0050,-19.36,0.025641,0.159104
1778247452.0698473,40,0.9987,0,-2.2776,-0.0570,-2.8924,0.040698,0.0043,-21.53,0.025000,0.159104
1778247452.0850787,41,0.9975,0,-2.3271,-0.0568,-2.8505,0.034951,0.0042,-24.30,0.024390,0.159104
1778247452.1003938,42,0.9958,0,-2.2161,-0.0529,-2.7945,0.026906,0.0042,-25.67,0.023810,0.159104
1778247452.1161141,43,0.9941,0,-2.1789,-0.0508,-2.7399,0.021042,0.0046,-26.31,0.023256,0.159104
1778247452.1330094,44,0.9927,0,-2.1486,-0.0489,-2.6877,0.017278,0.0058,-27.59,0.022727,0.159104
1778247452.1489742,45,0.9920,0,-2.0670,-0.0461,-2.6286,0.013175,0.0049,-27.32,0.022222,0.159104
1778247452.1650686,46,0.9918,0,-2.0568,-0.0449,-2.5761,0.013927,0.0050,-26.81,0.021739,0.159104
1778247452.1811173,47,0.9918,0,-2.0484,-0.0437,-2.5297,0.014881,0.0050,-26.61,0.021277,0.159104
1778247452.1972444,48,0.9919,0,-1.9820,-0.0415,-2.4782,0.019941,0.0050,-25.17,0.020833,0.159104
1778247452.2134042,49,0.9919,0,-1.9357,-0.0397,-2.4260,0.020425,0.0050,-24.41,0.020408,0.159104
1778247452.2295096,50,0.9919,0,-1.8592,-0.0374,-2.3680,0.021747,0.0050,-22.34,0.020000,0.159104
1778247452.245541,51,0.9922,0,-1.7807,-0.0351,-2.3049,0.020793,0.0050,-20.96,0.019608,0.159104
1778247452.2614107,52,0.9927,0,-1.7160,-0.0332,-2.2398,0.020282,0.0049,-21.14,0.019231,0.159104
1778247452.2774253,53,0.9938,0,-1.6103,-0.0306,-2.1661,0.023856,0.0051,-21.53,0.018868,0.159104
1778247452.2934148,54,0.9952,0,-1.6910,-0.0315,-2.1174,0.026661,0.0050,-24.44,0.018519,0.159104
1778247452.3101628,55,0.9968,0,-1.7081,-0.0313,-2.0788,0.029889,0.0057,-26.78,0.018182,0.159104
1778247452.3252165,56,0.9982,0,-1.8389,-0.0330,-2.0685,0.032025,0.0041,-27.23,0.017857,0.159104
1778247452.3402703,57,0.9991,0,-2.0936,-0.0369,-2.1035,0.034127,0.0041,-27.23,0.017544,0.159104
1778247452.3553782,58,0.9992,0,-2.2419,-0.0389,-2.1582,0.039384,0.0042,-27.84,0.017241,0.159104
1778247452.3716683,59,0.9987,0,-2.5102,-0.0427,-2.2501,0.033705,0.0054,-29.18,0.016949,0.159104
1778247452.3874595,60,0.9980,0,-2.6973,-0.0451,-2.3591,0.028345,0.0049,-30.37,0.016667,0.159104
1778247452.4033911,61,0.9978,0,-2.7868,-0.0459,-2.4655,0.023245,0.0050,-32.51,0.016393,0.159104
1778247452.419431,62,0.9981,0,-2.8251,-0.0457,-2.5611,0.022581,0.0050,-34.38,0.016129,0.159104
1778247452.435529,63,0.9988,0,-2.7862,-0.0444,-2.6342,0.022517,0.0051,-36.02,0.015873,0.159104
1778247452.4507823,64,0.9993,0,-2.3575,-0.0370,-2.6214,0.079826,0.0042,-36.82,0.015625,0.159104
1778247452.4662254,65,0.9992,0,-2.0685,-0.0320,-2.5604,0.085704,0.0043,-36.11,0.015385,0.159104
1778247452.4815807,66,0.9984,0,-1.7349,-0.0265,-2.4515,0.092829,0.0042,-35.16,0.015152,0.159104
1778247452.49698,67,0.9968,0,-1.5593,-0.0235,-2.3298,0.072618,0.0042,-34.95,0.014925,0.159104
1778247452.5112622,68,0.9951,0,-1.8174,-0.0269,-2.2713,0.049322,0.0042,-35.89,0.014706,0.159104
1778247452.5273046,69,0.9939,0,-1.8791,-0.0274,-2.2323,0.038001,0.0051,-34.65,0.014493,0.159104
1778247452.543369,70,0.9933,0,-1.9520,-0.0280,-2.2116,0.014402,0.0050,-29.97,0.014286,0.159104
