time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1778155883.107169,1,0.9996,1,0.0000,0.0000,0.0000,0.000000,0.0000,-23.04,1.000000,1.000000
1778155883.1129508,2,0.9996,1,0.0000,0.0000,0.0000,0.000000,0.0000,-23.04,0.500000,0.500000
1778155883.1190608,3,0.9996,1,0.0000,0.0000,0.0000,0.000000,0.0000,-23.04,0.333333,0.333333
1778155883.1246269,4,0.9996,1,0.0000,0.0000,0.0000,0.000000,0.0000,-23.04,0.250000,0.250000
1778155883.1302636,5,0.9996,1,0.0000,0.0000,0.0000,0.000000,0.0000,-23.03,0.200000,0.200000
1778155883.1410494,6,0.9996,0,-2.6392,-0.4397,-0.8062,0.066170,0.0052,-23.12,0.166667,0.166667
1778155883.159615,7,0.9996,0,-2.5342,-0.3619,-1.3853,0.068606,0.0050,-23.16,0.142857,0.159104
1778155883.1776264,8,0.9996,0,-2.4488,-0.3060,-1.8118,0.067873,0.0052,-23.18,0.125000,0.159104
1778155883.1955125,9,0.9997,0,-2.3302,-0.2589,-2.1120,0.064477,0.0052,-23.51,0.111111,0.159104
1778155883.2125714,10,0.9997,0,-2.2292,-0.2229,-2.3180,0.059165,0.0043,-24.30,0.100000,0.159104
1778155883.229326,11,0.9997,0,-2.2790,-0.2072,-2.4860,0.054161,0.0042,-25.59,0.090909,0.159104
1778155883.2460167,12,0.9998,0,-2.2771,-0.1897,-2.6124,0.049658,0.0042,-27.05,0.083333,0.159104
1778155883.2618897,13,0.9998,0,-2.3867,-0.1836,-2.7308,0.044592,0.0042,-28.82,0.076923,0.159104
1778155883.2788618,14,0.9998,0,-2.5032,-0.1788,-2.8450,0.037131,0.0042,-30.52,0.071429,0.159104
1778155883.2955117,15,0.9998,0,-2.5680,-0.1712,-2.9449,0.030988,0.0042,-31.79,0.066667,0.159104
1778155883.3121443,16,0.9997,0,-2.6571,-0.1661,-3.0387,0.023907,0.0050,-32.73,0.062500,0.159104
1778155883.3287482,17,0.9997,0,-2.6631,-0.1566,-3.1107,0.023116,0.0050,-32.71,0.058824,0.159104
1778155883.344686,18,0.9998,0,-2.2630,-0.1257,-3.0816,0.061227,0.0051,-31.03,0.055556,0.159104
1778155883.3596654,19,0.9998,0,-2.0546,-0.1081,-3.0092,0.063307,0.0042,-28.40,0.052632,0.159104
1778155883.375833,20,0.9997,0,-1.7701,-0.0885,-2.8865,0.060660,0.0054,-25.96,0.050000,0.159104
1778155883.392451,21,0.9994,0,-1.5838,-0.0754,-2.7428,0.045772,0.0050,-24.16,0.047619,0.159104
1778155883.4090443,22,0.9989,0,-1.8157,-0.0825,-2.6649,0.030868,0.0050,-23.97,0.045455,0.159104
1778155883.4256737,23,0.9984,0,-1.8039,-0.0784,-2.5941,0.023507,0.0050,-24.81,0.043478,0.159104
1778155883.4422913,24,0.9980,0,-1.8935,-0.0789,-2.5492,0.015682,0.0050,-25.64,0.041667,0.159104
1778155883.4589245,25,0.9978,0,-1.9007,-0.0760,-2.5103,0.013158,0.0050,-25.99,0.040000,0.159104
1778155883.4754963,26,0.9977,0,-1.9462,-0.0749,-2.4837,0.013780,0.0050,-25.86,0.038462,0.159104
1778155883.4921288,27,0.9978,0,-2.1835,-0.0809,-2.5041,0.027068,0.0050,-26.18,0.037037,0.159104
1778155883.5079684,28,0.9982,0,-2.4044,-0.0859,-2.5605,0.044487,0.0042,-25.35,0.035714,0.159104
