time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1778155883.108167,1,0.0330,1,0.0000,0.0000,0.0000,0.000000,0.0000,28.59,4.55,0.67,1.000000,1.000000
1778155883.1139815,2,0.0330,1,0.0000,0.0000,0.0000,0.000000,0.0000,28.59,4.55,0.67,0.500000,0.500000
1778155883.1200707,3,0.0329,1,0.0000,0.0000,0.0000,0.000000,0.0000,28.59,4.55,0.67,0.333333,0.333333
1778155883.1255608,4,0.0329,1,0.0000,0.0000,0.0000,0.000000,0.0000,28.59,4.55,0.67,0.250000,0.250000
1778155883.1312296,5,0.0329,1,0.0000,0.0000,0.0000,0.000000,0.0000,28.59,4.55,0.67,0.200000,0.200000
1778155883.149812,6,0.0329,1,0.0000,0.0000,0.0000,0.000002,0.0077,28.59,4.53,0.68,0.166667,0.166667
1778155883.1677008,7,0.0329,1,0.0000,0.0000,0.0000,0.000017,0.0071,28.59,4.60,0.64,0.142857,0.159104
1778155883.185551,8,0.0328,1,0.0000,0.0000,0.0000,0.000156,0.0068,28.55,5.08,0.34,0.125000,0.159104
1778155883.2034895,9,0.0327,1,0.0000,0.0000,0.0000,0.000612,0.0068,28.25,6.11,-0.25,0.111111,0.159104
1778155883.2203786,10,0.0326,1,0.0000,0.0000,0.0000,0.002428,0.0068,27.43,8.09,-1.29,0.100000,0.159104
1778155883.2370667,11,0.0329,1,0.0000,0.0000,0.0000,0.005783,0.0067,26.07,10.86,-2.57,0.090909,0.159104
1778155883.2528858,12,0.0348,1,0.0000,0.0000,0.0000,0.011464,0.0059,24.36,13.59,-3.69,0.083333,0.159104
1778155883.2697642,13,0.0401,1,0.0000,0.0000,0.0000,0.018093,0.0068,22.04,15.80,-4.27,0.076923,0.159104
1778155883.2865808,14,0.0519,1,0.0000,0.0000,0.0000,0.026163,0.0067,19.83,17.02,-4.32,0.071429,0.159104
1778155883.3024304,15,0.0715,1,0.0000,0.0000,0.0000,0.028820,0.0059,18.00,17.18,-4.02,0.066667,0.159104
1778155883.3190207,16,0.0952,1,0.0000,0.0000,0.0000,0.021636,0.0059,16.43,16.47,-3.50,0.062500,0.159104
1778155883.3348582,17,0.1199,0,-9.2252,-0.0651,-0.2398,0.009415,0.0051,16.23,22.90,-6.43,0.058824,0.159104
1778155883.3507595,18,0.1423,0,-8.7669,-0.0609,-0.4923,0.002463,0.0051,15.05,18.18,-4.93,0.055556,0.159104
1778155883.365709,19,0.1598,0,-9.7051,-0.0683,-0.7931,0.006936,0.0051,14.03,12.73,-3.36,0.052632,0.159104
1778155883.3827097,20,0.1727,0,-11.5134,-0.0833,-1.1687,0.015227,0.0059,13.08,6.64,-1.68,0.050000,0.159104
1778155883.399304,21,0.1818,0,-13.7643,-0.1021,-1.6322,0.016650,0.0059,12.50,0.80,-0.26,0.047619,0.159104
1778155883.4159539,22,0.1883,0,-15.9074,-0.1196,-2.1757,0.011416,0.0059,12.08,-3.85,0.78,0.045455,0.159104
1778155883.432527,23,0.1928,0,-17.5605,-0.1324,-2.7760,0.005313,0.0059,11.79,-7.23,1.49,0.043478,0.159104
1778155883.4492068,24,0.1959,0,-18.5186,-0.1391,-3.4014,0.001438,0.0059,11.61,-9.29,1.90,0.041667,0.159104
1778155883.4657552,25,0.1977,0,-18.8114,-0.1404,-4.0221,0.000353,0.0059,11.43,-10.31,2.07,0.040000,0.159104
1778155883.4823515,26,0.1990,0,-18.2013,-0.1346,-4.6014,0.003677,0.0059,10.37,-10.60,1.99,0.038462,0.159104
1778155883.4990032,27,0.2001,0,-16.4308,-0.1205,-5.0946,0.016230,0.0059,7.92,-10.06,1.69,0.037037,0.159104
1778155883.5148923,28,0.2008,0,-13.4157,-0.0980,-5.4554,0.040950,0.0059,5.21,-7.95,1.31,0.035714,0.159104
1778155883.5309582,29,0.2018,0,-9.4410,-0.0697,-5.6507,0.061035,0.0059,2.96,-3.77,0.61,0.034483,0.159104
1778155883.5459163,30,0.2044,0,-5.4812,-0.0422,-5.6861,0.053349,0.0051,3.38,2.11,-0.67,0.033333,0.159104
1778155883.5617087,31,0.2102,0,-2.0420,-0.0186,-5.5822,0.032582,0.0059,7.29,9.14,-2.45,0.032258,0.159104
1778155883.576721,32,0.2204,0,0.5809,-0.0004,-5.3664,0.015988,0.0051,11.79,15.41,-4.23,0.031250,0.159104
1778155883.5934813,33,0.2333,0,2.1728,0.0108,-5.0762,0.007977,0.0059,15.97,19.90,-5.98,0.030303,0.159104
1778155883.6101668,34,0.2469,0,3.1609,0.0179,-4.7354,0.002552,0.0058,18.44,22.66,-7.36,0.029412,0.159104
1778155883.6268144,35,0.2601,0,3.5391,0.0206,-4.3733,0.000287,0.0059,19.20,23.42,-7.88,0.028571,0.159104
1778155883.6434789,36,0.2710,0,3.2878,0.0186,-4.0251,0.001584,0.0059,20.17,22.44,-7.91,0.027778,0.159104
1778155883.6609664,37,0.2795,0,2.5470,0.0128,-3.7205,0.006400,0.0059,21.31,19.85,-7.39,0.027027,0.159104
1778155883.6768343,38,0.2851,0,1.3376,0.0037,-3.4876,0.014534,0.0051,22.25,15.59,-6.15,0.026316,0.159104
1778155883.6927216,39,0.2873,0,-0.5046,-0.0099,-3.3607,0.031554,0.0051,22.63,9.42,-3.96,0.025641,0.159104
